timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,6.72225,462.575,0
1,18729.8,0,5.19935,826.98,0
2,16934.3,21.7338,3.04981,1526.05,0
3,15342.6,12.604,1.95169,2880.53,0
4,13956.2,28.1832,4.80053,5510.74,0
5,12788.6,33.2094,6.17489,10584.3,0
6,11932,25.2366,5.02807,20215.2,0
7,11554,29.0397,5.97633,38034.8,0
8,11916.7,43.6039,8.70558,69853.3,0
9,13457.5,80.5061,14.2497,124128,426.169
10,16825.7,184.225,26.1467,211652,532.835
11,22862.2,311.418,32.5736,343640,723.995
12,32616,577.389,42.4217,527574,1032.88
13,46993.6,1203.11,61.6017,761180,3236.12
14,66336,2032.55,73.9187,1.02667e+06,4568.1
15,90452.2,2959.69,79.0243,1.289e+06,6228.82
16,118319,3925.69,80.149,1.50155e+06,8147.83
17,148040,5968.18,97.7513,1.61935e+06,10194.5
18,176025,7794.24,107.588,1.61507e+06,11909.4
19,199958,9636.08,117.334,1.48972e+06,13528.7
20,217797,8859.25,98.6478,1.27227e+06,14735.6
21,231101,13435.1,142.297,1.00833e+06,15635.7
22,234127,12094.2,126.005,744075,5463.56
23,233455,12404.3,129.709,513465,5447.89
24,228296,14854.1,159.853,333118,5327.49
25,217452,11181.4,125.412,204446,5074.44
26,208088,8289.67,96.5695,119538,5318.27
27,200098,13519.3,166.213,67102.2,5114.06
28,185716,14412.4,191.954,36466.9,4746.48
29,169761,12639.5,183.85,19356.6,4338.7
30,155204,11851.7,188.753,10127.8,3966.68
31,141214,11274.9,197.731,5272.9,452.242
32,127695,10383.6,201.541,2757.89,408.947
33,115051,9890.6,213.611,1462.9,368.455
34,102940,8870.41,214.142,794.233,329.667
35,91935.3,6696.62,179.706,445.357,426.661
36,83213.8,6159.53,182.734,260.206,386.185
37,75122,5950.31,196.093,159.584,348.632
38,67346.2,4839.59,177.197,103.446,312.545
39,60800.3,4088.31,165.393,71.4434,0
40,55113.2,3274.26,145.517,52.8346,0
41,50338.9,2155.7,103.972,41.907,0
42,46766.3,2171.67,112.959,35.8764,0
43,43243.4,1670.79,93.601,33.3081,0
44,40289.2,1207.83,72.2983,33.3928,59.1989
45,37855.2,870.518,55.2573,36.1626,55.6226
46,35805.9,566.563,37.8812,42.471,52.6115
47,34100.4,533.146,37.4261,53.8069,50.1055
48,32463.4,380.632,28.011,73.0987,0
49,31013.7,178.34,13.6958,106.321,0
50,29797.3,112.741,9.0024,164.677,0
51,28674.6,73.4637,6.09202,269.447,0
52,27615.4,78.0589,6.72225,232.826,0
53,26580.2,58.1308,5.19935,416.241,0
54,25597.5,32.8524,3.04981,768.102,0
55,24678.8,20.2738,1.95169,1449.85,0
56,23824.2,48.1107,4.80053,2773.7,0
57,23018.2,59.7733,6.17489,5327.34,0
58,22324.2,47.2162,5.02807,10174.9,0
59,21849.7,54.9168,5.97633,19143.9,0
60,21716.8,79.4631,8.70558,35159,0
61,22138.4,132.438,14.2497,62476.9,701.076
62,23428.5,256.518,26.1467,106530,741.929
63,25976.8,353.844,32.5736,172963,822.628
64,30355,537.362,42.4217,265542,961.276
65,37006.7,947.433,61.6017,383122,2548.39
66,46062.3,1411.36,73.9187,516751,3171.99
67,57479,1880.78,79.0243,648789,3958.18
68,70789,2348.7,80.149,755769,4874.75
69,85060.3,3429.18,97.7513,815063,5857.52
70,98417,4357.81,107.588,812906,6658.64
71,109739,5288.36,117.334,749813,7424.64
72,118005,4800.04,98.6478,640369,7983.91
73,124101,7214.64,142.297,507520,8396.38
74,124928,6453.4,126.005,374512,2915.32
75,123998,6588.45,129.709,258441,2893.61
76,120846,7862.87,159.853,167667,2820.05
77,114807,5903.38,125.412,102903,2679.12
78,109639,4367.73,96.5695,60166.5,2802.14
79,105256,7111.44,166.213,33774.3,2690.1
80,97555.3,7570.72,191.954,18354.7,2493.29
