timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,74.9204,1614.72,0
1,2.47691e+06,0,57.5704,1750.57,0
2,2.37477e+06,1029.35,33.1227,2032.89,0
3,2.27733e+06,631.745,22.8705,2529.27,0
4,2.18402e+06,1489.92,49.6841,3373.35,0
5,2.0935e+06,1836.86,61.5136,4789.81,0
6,2.0062e+06,1433.46,46.5295,7191.72,0
7,1.92278e+06,1632.84,55.2045,11369.4,0
8,1.84258e+06,2278.86,66.2454,18804.6,0
9,1.76519e+06,3572.05,94.6364,32273.5,55899.7
10,1.6901e+06,6270.15,159.305,57021.1,53521.9
11,1.61632e+06,7466.9,174.289,102879,51185.4
12,1.5461e+06,9295.33,206.623,187910,48961.8
13,1.48021e+06,12904.9,286.275,344385,101932
14,1.41943e+06,14836.1,334.382,627750,97746.3
15,1.36983e+06,15301,350.154,1.12822e+06,94330.8
16,1.33999e+06,15179.6,345.423,1.98226e+06,92276.2
17,1.34141e+06,18509.4,375.391,3.3771e+06,92373.9
18,1.38621e+06,21037.5,410.879,5.53601e+06,93787.6
19,1.49529e+06,24731.2,406.936,8.6701e+06,101168
20,1.6901e+06,23533.1,341.48,1.2889e+07,114348
21,1.99646e+06,39973.5,485.011,1.80843e+07,135075
22,2.40924e+06,42765.5,411.668,2.38321e+07,56221.8
23,2.94034e+06,53712.7,423.498,2.9382e+07,68615.6
24,3.56013e+06,79975.1,493.686,3.37875e+07,83079
25,4.21299e+06,74434.5,379.334,3.61673e+07,98314
26,4.87993e+06,66527,295.739,3.60031e+07,124720
27,5.51076e+06,128661,489.743,3.33314e+07,140843
28,5.99045e+06,161222,567.818,2.87302e+07,153102
29,6.32346e+06,163094,529.964,2.31057e+07,161613
30,6.53436e+06,172968,544.159,1.7392e+07,167004
31,6.62305e+06,183536,574.127,1.23027e+07,21210.5
32,6.60584e+06,186535,582.802,8.21927e+06,21155.4
33,6.51052e+06,194685,633.275,5.21634e+06,20850.1
34,6.35067e+06,190370,637.218,3.16551e+06,20338.2
35,6.1546e+06,155207,548.891,1.85012e+06,28562.7
36,5.96538e+06,152937,559.143,1.04955e+06,27684.6
37,5.75779e+06,158255,608.039,582671,26721.2
38,5.53014e+06,137537,565.452,319285,25664.7
39,5.31302e+06,123439,535.484,174204,0
40,5.10248e+06,104450,518.923,95475.3,0
41,4.9055e+06,71963.6,398.261,53031.8,0
42,4.73696e+06,75449,421.92,30111.8,0
43,4.56155e+06,60288,386.432,17618.6,0
44,4.39913e+06,44977.8,338.325,10708,6463.87
45,4.25044e+06,33255.2,288.641,6815.25,6245.38
46,4.11231e+06,22084.6,238.957,4569.82,6042.42
47,3.98456e+06,21142.2,225.55,3242.26,5854.72
48,3.8573e+06,15328.5,194.005,2451.56,0
49,3.73585e+06,7266.3,113.564,1987.85,0
50,3.62272e+06,4633.16,93.0591,1726.28,0
51,3.51265e+06,3040.69,63.8795,1606.81,0
52,3.40485e+06,3252.13,74.9204,0.156965,0
53,3.29779e+06,2436.55,57.5704,0.17017,0
54,3.19274e+06,1383.91,33.1227,0.197614,0
55,3.09013e+06,857.221,22.8705,0.245867,0
56,2.98959e+06,2039.47,49.6841,0.327919,0
57,2.88958e+06,2535.34,61.5136,0.465611,0
58,2.79094e+06,1994.17,46.5295,0.699097,0
59,2.69484e+06,2288.47,55.2045,1.10521,0
60,2.60051e+06,3216.25,66.2454,1.82797,0
61,2.50742e+06,5074.04,94.6364,3.13726,79404.5
62,2.41474e+06,8958.49,159.305,5.54294,76469.6
63,2.32058e+06,10720.4,174.289,10.0007,73487.9
64,2.22721e+06,13390.2,206.623,18.2665,70531
65,2.13381e+06,18603.1,286.275,33.4772,146941
66,2.03797e+06,21301.2,334.382,61.0227,140341
67,1.94235e+06,21696.1,350.154,109.672,133757
68,1.84931e+06,20949.1,345.423,192.693,127349
69,1.75995e+06,24284.6,375.391,328.283,121195
70,1.67019e+06,25347.2,410.879,538.148,113000
71,1.58234e+06,26171,406.936,842.809,107057
72,1.49665e+06,20839.5,341.48,1252.92,101259
73,1.41913e+06,28414.2,485.011,1757.95,96014.9
74,1.33685e+06,23729.8,411.668,2316.69,31196.5
75,1.26207e+06,23054.8,423.498,2856.19,29451.5
76,1.19061e+06,26745.9,493.686,3284.44,27784
77,1.11809e+06,19754.2,379.334,3515.78,26091.6
78,1.05507e+06,14383.5,295.739,3499.81,26965.2
79,999613,23338.2,489.743,3240.1,25547.9
80,937380,25227.9,567.818,2792.83,23957.3
81,875597,22583.4,529.964,2246.07,22378.3
82,818720,21671.9,544.159,1690.65,20924.6
83,764876,21196,574.127,1195.93,2449.54
84,713537,20148.8,582.802,798.984,2285.13
85,665183,19891,633.275,507.073,2130.27
86,618937,18553.4,637.218,307.715,1982.17
87,575790,14520.3,548.891,179.847,2672.17
88,538273,13799.9,559.143,102.025,2498.06
89,502922,13823,608.039,56.6407,2334
90,468930,11662.5,565.452,31.0373,2176.25
91,438393,10185.4,535.484,16.9341,0
92,410507,8403.28,518.923,9.28103,0
93,385470,5654.84,398.261,5.15515,0
94,364118,5799.57,421.92,2.92713,0
95,343470,4539.49,386.432,1.71268,0
96,324879,3321.64,338.325,1.04091,477.361
97,308222,2411.51,288.641,0.662501,452.886
98,293121,1574.17,238.957,0.444226,430.697
99,279444,1482.74,225.55,0.315176,410.601
100,266404,1058.66,194.005,0.238313,0
101,254303,494.623,113.564,0.193236,0
102,243241,311.085,93.0591,0.16781,0
103,232804,201.524,63.8795,0.156196,0
104,222896,212.898,74.9204,4.25426,0
105,213378,157.653,57.5704,4.61216,0
106,204300,88.5546,33.1227,5.35598,0
107,195659,54.277,22.8705,6.66379,0
108,187404,127.845,49.6841,8.88765,0
109,179414,157.419,61.5136,12.6195,0
110,171722,122.698,46.5295,18.9478,0
111,164380,139.593,55.2045,29.9547,0
112,157324,194.575,66.2454,49.5438,0
113,150506,304.565,94.6364,85.0298,4766.2
114,143863,533.72,159.305,150.232,4555.82
115,137273,634.157,174.289,271.052,4347.13
116,130862,786.758,206.623,495.08,4144.13
117,124578,1086.1,286.275,907.34,8578.81
118,118278,1236.26,334.382,1653.91,8144.96
119,112121,1252.4,350.154,2972.47,7721.03
120,106255,1203.66,345.423,5222.6,7317.04
121,100761,1390.34,375.391,8897.52,6938.69
122,95437.1,1448.38,410.879,14585.5,6457.03
123,90461.4,1496.18,406.936,22842.8,6120.39
124,85895.8,1196.02,341.48,33958.1,5811.49
125,82128.7,1644.4,485.011,47646.1,5556.62
