timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,12.5415,462.575,0
1,18729.8,0,9.70028,826.98,0
2,16946.9,40.5555,5.68994,1526.05,0
3,15380.6,23.5647,3.64122,2880.53,0
4,14023.2,52.7863,8.95621,5510.74,0
5,12868,62.271,11.5203,10584.3,0
6,12017,47.3742,9.38074,20215.2,0
7,11649,54.5636,11.1499,38034.8,0
8,12016.1,81.8972,16.2418,69853.3,0
9,13546.7,150.797,26.5853,124128,428.995
10,16871.7,342.982,48.7812,211652,534.289
11,22774.8,575.319,60.7717,343640,721.229
12,32286.7,1058.04,79.145,527574,1022.45
13,46195.6,2181.66,114.929,761180,3181.17
14,64546.8,3640.07,137.908,1.02667e+06,4444.89
15,87004.3,5234.88,147.433,1.289e+06,5991.39
16,112497,6862.03,149.532,1.50155e+06,7746.91
17,139132,10279,182.372,1.61935e+06,9581.07
18,162578,13168.9,200.724,1.61507e+06,10999.6
19,180841,15914.1,218.907,1.48972e+06,12235.3
20,192060,14314.3,184.044,1.27227e+06,12994.3
21,199607,21095.2,265.48,1.00833e+06,13504.9
22,194644,18332.1,235.084,744075,4542.2
23,187517,18153.6,241.994,513465,4375.88
24,176514,20813,298.233,333118,4119.12
25,159745,14977.9,233.978,204446,3727.8
26,146826,10721.2,180.167,119538,3752.53
27,136840,16735.4,310.099,67102.2,3497.32
28,119819,16754.6,358.124,36466.9,3062.32
29,102269,13739.9,343.004,19356.6,2613.75
30,87518.5,12048.8,352.152,10127.8,2236.78
31,74367.9,10688,368.902,5272.9,238.166
32,62575.9,9152.98,376.01,2757.89,200.401
33,52375.9,8081.93,398.528,1462.9,167.735
34,43331.1,6701.51,399.519,794.233,138.769
35,35771,4705.1,335.273,445.357,166.009
36,30310.9,4049.33,340.922,260.206,140.669
37,25585.7,3648.96,365.845,159.584,118.74
38,21338.9,2770.3,330.591,103.446,99.0312
39,18047.8,2197.04,308.569,71.4434,0
40,15392.9,1661.49,271.486,52.8346,0
41,13326.4,1044.64,193.978,41.907,0
42,11917.7,1011.39,210.744,35.8764,0
43,10572,749.118,174.629,33.3081,0
44,9517.65,525.31,134.885,33.3928,13.9848
45,8709.82,369.898,103.092,36.1626,12.7978
46,8074.86,236.718,70.6739,42.471,11.8648
47,7586.66,219.774,69.8249,53.8069,11.1475
48,7126.61,155.091,52.2593,73.0987,0
49,6742.1,72.1486,25.5518,106.321,0
50,6449.88,45.4536,16.7955,164.677,0
51,6192.77,29.567,11.3657,269.447,0
52,5956.51,31.3732,12.5415,222.154,0
53,5727.53,23.3471,9.70028,397.161,0
54,5519.01,13.2075,5.68994,732.893,0
55,5339.2,8.18023,3.64122,1383.39,0
56,5195.12,19.5555,8.95621,2646.56,0
57,5094.11,24.6515,11.5203,5083.14,0
58,5086.89,20.0539,9.38074,9708.46,0
59,5262.61,24.65,11.1499,18266.4,0
60,5748.02,39.1765,16.2418,33547.4,0
61,6752.22,75.1631,26.5853,59613,213.828
62,8579.46,174.411,48.7812,101647,271.693
63,11604,293.13,60.7717,165035,367.473
64,16323.7,534.929,79.145,253370,516.935
65,23116.9,1091.73,114.929,365560,1591.9
66,32000.2,1804.62,137.908,493064,2203.63
67,42819.8,2576.38,147.433,619049,2948.7
68,55071.9,3359.24,149.532,721126,3792.42
69,67854.9,5013.08,182.372,777702,4672.7
70,79079.4,6405.45,200.724,775644,5350.31
71,87798.9,7726.31,218.907,715443,5940.25
72,93123.1,6940.54,184.044,611016,6300.47
73,96695.3,10219.1,265.48,484256,6542.16
74,94231.3,8874.95,235.084,357345,2198.97
75,90741,8784.68,241.994,246594,2117.53
76,85390.9,10068.5,298.233,159982,1992.68
77,77262.4,7244.22,233.978,98186.3,1802.99
78,71003.4,5184.68,180.167,57408.5,1814.69
79,66167.9,8092.27,310.099,32226.1,1691.1
80,57933.6,8100.96,358.124,17513.4,1480.65
81,49444.9,6642.96,343.004,9296.08,1263.7
82,42311.7,5825.1,352.152,4863.93,1081.39
83,35952.7,5167.02,368.902,2532.34,115.14
84,30251,4424.82,376.01,1324.49,96.8798
85,25319.3,3906.94,398.528,702.565,81.0861
86,20946.5,3239.54,399.519,381.434,67.0817
87,17291.5,2274.43,335.273,213.885,80.2479
88,14651.9,1957.39,340.922,124.965,67.9977
89,12367.6,1763.83,365.845,76.6412,57.3964
90,10314.6,1339.08,330.591,49.6802,47.8688
91,8723.66,1061.97,308.569,34.311,0
92,7440.28,803.096,271.486,25.3741,0
93,6441.33,504.93,193.978,20.126,0
94,5760.37,488.851,210.744,17.2298,0
95,5109.9,362.079,174.629,15.9964,0
96,4600.22,253.901,134.885,16.0371,6.75934
97,4209.73,178.783,103.092,17.3673,6.18556
98,3902.8,114.412,70.6739,20.3969,5.73458
99,3666.81,106.222,69.8249,25.841,5.38782
100,3444.42,74.9581,52.2593,35.106,0
101,3258.55,34.8704,25.5518,51.0612,0
102,3117.28,21.9681,16.7955,79.0869,0
103,2992.99,14.2898,11.3657,129.403,0
104,2883.38,15.1869,12.5415,343.188,0
105,2781.07,11.3364,9.70028,613.542,0
106,2695.84,6.45141,5.68994,1132.19,0
107,2638.42,4.04234,3.64122,2137.08,0
108,2625.28,9.88211,8.95621,4088.46,0
109,2684.7,12.9919,11.5203,7852.54,0
110,2887.72,11.3842,9.38074,14997.8,0
111,3361.74,15.7463,11.1499,28218.3,0
112,4310.88,29.3814,16.2418,51824.6,0
113,6064.07,67.5028,26.5853,92091.4,192.036
114,9099.54,184.983,48.7812,157026,288.163
115,14012.9,353.984,60.7717,254949,443.759
116,21551,706.231,79.145,391411,682.473
117,32304.7,1525.64,114.929,564725,2224.6
118,46317.9,2612.06,137.908,761694,3189.59
119,63326.5,3810.23,147.433,956319,4360.86
120,82531.2,5034.18,149.532,1.11401e+06,5683.35
121,102531,7574.96,182.372,1.20141e+06,7060.62
122,120128,9730.4,200.724,1.19823e+06,8127.57
123,133841,11778,218.907,1.10523e+06,9055.33
124,142292,10605.2,184.044,943909,9627.13
125,147988,15640,265.48,748088,10012.5
126,144381,13598.2,235.084,552034,3369.27
127,139148,13470.9,241.994,380943,3247.14
128,131022,15449,298.233,247143,3057.53
129,118604,11120.5,233.978,151680,2767.74
