timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,11.1369,462.575,0
1,18729.8,0,8.61385,826.98,0
2,16943.9,36.0118,5.05267,1526.05,0
3,15371.5,20.9149,3.2334,2880.53,0
4,14007.1,46.8305,7.95311,5510.74,0
5,12849,55.2302,10.23,10584.3,0
6,11996.7,42.0067,8.33009,20215.2,0
7,11626.4,48.3713,9.90108,38034.8,0
8,11992.5,72.6101,14.4227,69853.3,0
9,13525.7,133.785,23.6078,124128,428.329
10,16861.2,304.734,43.3177,211652,533.958
11,22796.6,512.113,53.9653,343640,721.918
12,32366.5,943.639,70.2807,527574,1024.98
13,46387.1,1950.66,102.057,761180,3194.36
14,64972.5,3264.35,122.462,1.02667e+06,4474.2
15,87817.9,4708.46,130.921,1.289e+06,6047.41
16,113861,6189.22,132.784,1.50155e+06,7840.8
17,141204,9303.68,161.946,1.61935e+06,9723.72
18,165678,11973.5,178.243,1.61507e+06,11209.4
19,185205,14547.6,194.389,1.48972e+06,12530.5
20,197868,13152.6,163.431,1.27227e+06,13387.2
21,206645,19514.5,235.746,1.00833e+06,13981.1
22,203337,17100.3,208.755,744075,4745.06
23,197491,17074.8,214.891,513465,4608.63
24,187588,19779.3,264.831,333118,4377.55
25,171847,14387,207.773,204446,4010.21
26,159470,10384.5,159.988,119538,4075.7
27,149735,16380,275.368,67102.2,3826.89
28,132954,16647.7,318.014,36466.9,3398.02
29,115364,13874.1,304.588,19356.6,2948.44
30,100306,12364,312.711,10127.8,2563.61
31,86647.7,11153.7,327.585,5272.9,277.492
32,74183.6,9720.42,333.897,2757.89,237.576
33,63203.1,8741.09,353.893,1462.9,202.41
34,53285,7386.37,354.773,794.233,170.647
35,44830.3,5277.51,297.722,445.357,208.052
36,38596.2,4615.33,302.739,260.206,179.12
37,33111.1,4229.29,324.871,159.584,153.665
38,28100.4,3264.68,293.565,103.446,130.411
39,24143.4,2628.84,274.009,71.4434,0
40,20896.4,2015.73,241.08,52.8346,0
41,18326.1,1281.53,172.252,41.907,0
42,16540.1,1252.67,187.141,35.8764,0
43,14819.9,936.362,155.07,33.3081,0
44,13452.6,661.444,119.778,33.3928,19.7666
45,12389.2,468.374,91.5457,36.1626,18.204
46,11541.4,300.954,62.7584,42.471,16.9584
47,10878.9,280.316,62.0045,53.8069,15.9849
48,10251.9,198.363,46.4062,73.0987,0
49,9721.2,92.4338,22.69,106.321,0
50,9308.85,58.2774,14.9144,164.677,0
51,8941.63,37.9201,10.0927,269.447,0
52,8602.21,40.2457,11.1369,224.923,0
53,8272.02,29.9495,8.61385,402.112,0
54,7967.11,16.933,5.05267,742.029,0
55,7696.38,10.4719,3.2334,1400.63,0
56,7465.51,24.9597,7.95311,2679.55,0
57,7277.63,31.2823,10.23,5146.5,0
58,7185.99,25.1619,8.33009,9829.48,0
59,7283.5,30.3029,9.90108,18494.1,0
60,7696.52,46.5997,14.4227,33965.5,0
61,8635.71,85.417,23.6078,60356.1,273.474
