timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,54.3283,1614.72,0
1,2.47691e+06,0,41.747,1750.57,0
2,2.37466e+06,746.441,24.0188,2032.89,0
3,2.27693e+06,458.045,16.5844,2529.27,0
4,2.1833e+06,1080.15,36.0282,3373.35,0
5,2.09273e+06,1331.66,44.6064,4789.81,0
6,2.00552e+06,1039.22,33.7407,7191.72,0
7,1.92211e+06,1183.78,40.0314,11369.4,0
8,1.84202e+06,1652.29,48.0376,18804.6,0
9,1.76492e+06,2590.6,68.6252,32273.5,55891.3
10,1.6905e+06,4550.2,115.519,57021.1,53534.5
11,1.6181e+06,5424.06,126.385,102879,51241.8
12,1.54955e+06,6761.19,149.832,187910,49071
13,1.48576e+06,9404.5,207.591,344385,102314
14,1.42797e+06,10838.9,242.476,627750,98334.2
15,1.38174e+06,11209.5,253.913,1.12822e+06,95150.8
16,1.35525e+06,11150.4,250.482,1.98226e+06,93326.8
17,1.35985e+06,13632.9,272.213,3.3771e+06,93643.8
18,1.40859e+06,15534.5,297.948,5.53601e+06,95301.3
19,1.52213e+06,18298.1,295.088,8.6701e+06,102983
20,1.72227e+06,17423.7,247.623,1.2889e+07,116524
21,2.03359e+06,29609,351.704,1.80843e+07,137587
22,2.45567e+06,31687.7,298.52,2.38321e+07,57305.2
23,2.99681e+06,39799.6,307.098,2.9382e+07,69933.4
24,3.62961e+06,59312.4,357.995,3.37875e+07,84700.3
25,4.30249e+06,55259.4,275.073,3.61673e+07,100403
26,4.98797e+06,49404.3,214.454,3.60031e+07,127481
27,5.63523e+06,95719,355.135,3.33314e+07,144024
28,6.14756e+06,120431,411.751,2.87302e+07,157118
29,6.52122e+06,122410,384.301,2.31057e+07,166668
30,6.77244e+06,130482,394.595,1.7392e+07,173088
31,6.90286e+06,139256,416.326,1.23027e+07,22106.6
32,6.9286e+06,142440,422.617,8.21927e+06,22189.1
33,6.87523e+06,149713,459.217,5.21634e+06,22018.2
34,6.75726e+06,147506,462.076,3.16551e+06,21640.3
35,6.59981e+06,121119,398.026,1.85012e+06,30628.9
36,6.4391e+06,120141,405.46,1.04955e+06,29883.1
37,6.25753e+06,125202,440.917,582671,29040.4
38,6.05495e+06,109582,410.036,319285,28100.3
39,5.85654e+06,98991.7,388.304,174204,0
40,5.66009e+06,84260.9,376.295,95475.3,0
41,5.47187e+06,58329.1,288.798,53031.8,0
42,5.30464e+06,61405.1,305.954,30111.8,0
43,5.13022e+06,49258.8,280.22,17618.6,0
44,4.96513e+06,36864.6,245.335,10708,7295.52
45,4.81033e+06,27321.3,209.307,6815.25,7068.06
46,4.66352e+06,18174.8,173.279,4569.82,6852.35
47,4.52481e+06,17422.8,163.557,3242.26,6648.53
48,4.38623e+06,12646.6,140.682,2451.56,0
49,4.25233e+06,5999.21,82.3502,1987.85,0
50,4.12531e+06,3826.5,67.4814,1726.28,0
51,4.00096e+06,2511.76,46.322,1606.81,0
52,3.8787e+06,2686.83,54.3283,0.130749,0
53,3.75737e+06,2013.29,41.747,0.141749,0
54,3.6381e+06,1143.59,24.0188,0.164609,0
55,3.52129e+06,708.371,16.5844,0.204803,0
