timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,46.88,1614.72,0
1,2.47691e+06,0,36.0236,1750.57,0
2,2.37461e+06,644.109,20.7259,2032.89,0
3,2.27679e+06,395.229,14.3108,2529.27,0
4,2.18303e+06,931.985,31.0889,3373.35,0
5,2.09245e+06,1148.99,38.491,4789.81,0
6,2.00527e+06,896.666,29.115,7191.72,0
7,1.92187e+06,1021.4,34.5432,11369.4,0
8,1.84181e+06,1425.69,41.4518,18804.6,0
9,1.76483e+06,2235.54,59.2169,32273.5,55888.2
10,1.69064e+06,3927.45,99.6818,57021.1,53539
11,1.61875e+06,4683.39,109.058,102879,51262.2
12,1.5508e+06,5840.72,129.29,187910,49110.5
13,1.48777e+06,8129.74,179.131,344385,102453
14,1.43106e+06,9378.19,209.233,627750,98547.5
15,1.38607e+06,9708.48,219.103,1.12822e+06,95449
16,1.36081e+06,9666.73,216.142,1.98226e+06,93709.7
17,1.36659e+06,11830.4,234.894,3.3771e+06,94107.5
18,1.41678e+06,13493.1,257.1,5.53601e+06,95855.4
19,1.53198e+06,15905,254.633,8.6701e+06,103650
20,1.73411e+06,15149,213.674,1.2889e+07,117325
21,2.04728e+06,25747.8,303.487,1.80843e+07,138513
22,2.47281e+06,27559.2,257.594,2.38321e+07,57705.4
23,3.0177e+06,34614.7,264.996,2.9382e+07,70420.9
24,3.65534e+06,51602.6,308.915,3.37875e+07,85300.7
25,4.33568e+06,48094.4,237.361,3.61673e+07,101177
26,5.02808e+06,43003.6,185.053,3.60031e+07,128506
27,5.68145e+06,83372.9,306.447,3.33314e+07,145205
28,6.20601e+06,105053,355.301,2.87302e+07,158611
29,6.59498e+06,106963,331.615,2.31057e+07,168553
30,6.86148e+06,114228,340.497,1.7392e+07,175364
31,7.00784e+06,122164,359.249,1.23027e+07,22442.9
32,7.05015e+06,125248,364.677,8.21927e+06,22578.3
33,7.01313e+06,131980,396.26,5.21634e+06,22459.8
34,6.91169e+06,130392,398.727,3.16551e+06,22134.9
