timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,6.42125,462.575,0
1,18729.8,0,4.96655,826.98,0
2,16933.6,20.7605,2.91325,1526.05,0
3,15340.6,12.0383,1.8643,2880.53,0
4,13952.7,26.9158,4.58558,5510.74,0
5,12784.5,31.714,5.8984,10584.3,0
6,11927.6,24.0987,4.80294,20215.2,0
7,11549,27.729,5.70873,38034.8,0
8,11911.4,41.6365,8.31578,69853.3,0
9,13452.7,76.8846,13.6117,124128,426.018
10,16823.2,175.993,24.976,211652,532.754
11,22866.5,297.623,31.1151,343640,724.132
12,32633,552.045,40.5222,527574,1033.41
13,47035.2,1150.94,58.8434,761180,3238.99
14,66430.4,1945.68,70.6089,1.02667e+06,4574.61
15,90636.1,2835.05,75.4859,1.289e+06,6241.48
16,118633,3762.73,76.5602,1.50155e+06,8169.44
17,148525,5724.94,93.3744,1.61935e+06,10227.9
18,176766,7484.2,102.771,1.61507e+06,11959.5
19,201025,9264.03,112.08,1.48972e+06,13600.9
20,219255,8527.21,94.2308,1.27227e+06,14834.2
21,232908,12951.3,135.926,1.00833e+06,15757.9
22,236436,11680.6,120.363,744075,5517.45
23,236190,12002.4,123.901,513465,5511.72
24,231438,14406.1,152.695,333118,5400.82
25,221040,10869.9,119.797,204446,5158.17
26,211972,8073.68,92.2455,119538,5417.53
27,204169,13197.4,158.771,67102.2,5218.1
28,190070,14115.4,183.359,36466.9,4857.77
29,174362,12422.4,175.618,19356.6,4456.3
30,159960,11688.7,180.302,10127.8,4088.22
31,146058,11160.3,188.878,5272.9,467.757
32,132570,10317,192.517,2757.89,424.56
33,119901,9865.82,204.046,1462.9,383.986
34,107715,8884.23,204.554,794.233,344.961
35,96593.4,6732.29,171.66,445.357,448.278
36,87729.2,6213.72,174.552,260.206,407.141
37,79474.5,6024.33,187.313,159.584,368.831
38,71515.2,4917.3,169.263,103.446,331.893
39,64782.7,4167.56,157.987,71.4434,0
40,58908.6,3347.66,139.001,52.8346,0
41,53955.1,2209.28,99.3166,41.907,0
42,50225,2230.23,107.901,35.8764,0
43,46541.4,1719.23,89.4099,33.3081,0
44,43439.1,1244.8,69.061,33.3928,63.8273
45,40870.7,898.253,52.7831,36.1626,60.0535
46,38698.5,585.127,36.185,42.471,56.8617
47,36881.3,551.001,35.7503,53.8069,54.1915
48,35135.3,393.619,26.7567,73.0987,0
49,33583.6,184.495,13.0825,106.321,0
50,32274.1,116.654,8.59931,164.677,0
51,31062.4,76.0224,5.81924,269.447,0
52,29917.7,80.7852,6.42125,233.292,0
53,28798.7,60.1655,4.96655,417.074,0
54,27735,34.0029,2.91325,769.64,0
55,26738.4,20.9826,1.8643,1452.75,0
56,25808.2,49.786,4.58558,2779.26,0
57,24928,61.8379,5.8984,5338.01,0
58,24161.7,48.8168,4.80294,10195.2,0
59,23617.9,56.7063,5.70873,19182.3,0
60,23418.2,81.8589,8.31578,35229.4,0
61,23775.8,135.883,13.6117,62602,752.926
62,25004.5,261.581,24.976,106743,791.84
63,27495,357.866,31.1151,173309,870.707
64,31822.6,538.337,40.5222,266074,1007.75
65,38434.3,940.475,58.8434,383889,2646.7
66,47466.5,1390.24,70.6089,517785,3268.69
67,58883.3,1841.84,75.4859,650088,4054.89
