timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,8.02656,462.575,0
1,18729.8,0,6.20818,826.98,0
2,16937.1,25.9519,3.64156,1526.05,0
3,15351.1,15.0568,2.33038,2880.53,0
4,13971.3,33.6813,5.73197,5510.74,0
5,12806.6,39.6984,7.373,10584.3,0
6,11951.3,30.1755,6.00367,20215.2,0
7,11575.6,34.7304,7.13591,38034.8,0
8,11939.3,52.1445,10.3947,69853.3,0
9,13478,96.2163,17.0146,124128,426.818
10,16836.6,219.874,31.22,211652,533.18
11,22843.2,371.035,38.8939,343640,723.396
12,32542.5,686.661,50.6528,527574,1030.55
13,46813.7,1427.42,73.5542,761180,3223.73
14,65929.1,2404.7,88.2611,1.02667e+06,4540.08
15,89661.5,3491.68,94.3574,1.289e+06,6174.37
16,116974,4618.82,95.7003,1.50155e+06,8055.19
17,145967,6998.21,116.718,1.61935e+06,10051.8
18,172869,9099.36,128.464,1.61507e+06,11695.9
19,195428,11191,140.1,1.48972e+06,13222.2
20,211631,10237.1,117.788,1.27227e+06,14318.4
21,223485,15423,169.907,1.00833e+06,15120.4
22,224444,13772.2,150.454,744075,5237.6
23,222042,14012.2,154.876,513465,5181.55
24,215253,16613.9,190.869,333118,5023.12
25,202659,12378.8,149.746,204446,4729.23
26,192162,9104.3,115.307,119538,4911.23
27,183475,14701.1,198.463,67102.2,4689.2
28,168065,15451.6,229.199,36466.9,4295.36
29,151273,13347.7,219.523,19356.6,3866.19
30,136260,12328.5,225.377,10127.8,3482.5
31,122086,11545.5,236.097,5272.9,390.985
32,108627,10460.6,240.646,2757.89,347.88
33,96265,9795.66,255.058,1462.9,308.292
34,84629.4,8631.92,255.692,794.233,271.029
35,74259.6,6411.37,214.575,445.357,344.63
36,66227.2,5809.79,218.19,260.206,307.352
37,58892.6,5525.5,234.141,159.584,273.314
38,51947.9,4425.2,211.578,103.446,241.084
39,46217,3685.67,197.484,71.4434,0
40,41325.3,2914.06,173.751,52.8346,0
41,37294.5,1898.83,124.146,41.907,0
42,34352.6,1895.91,134.876,35.8764,0
43,31470.3,1446.26,111.762,33.3081,0
44,29095.4,1038.39,86.3263,33.3928,42.7513
45,27176.1,744.497,65.9789,36.1626,39.9312
46,25589.3,482.71,45.2313,42.471,37.5996
47,24295.9,452.859,44.6879,53.8069,35.6993
48,23059.8,322.463,33.4459,73.0987,0
49,21981,150.839,16.3532,106.321,0
50,21097.5,95.2768,10.7491,164.677,0
51,20290.4,62.0544,7.27405,269.447,0
52,19533.9,65.9104,8.02656,230.673,0
53,18795,49.0693,6.20818,412.392,0
