timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,13.5448,462.575,0
1,18729.8,0,10.4763,826.98,0
2,16949,43.8013,6.14514,1526.05,0
3,15387.1,25.4591,3.93251,2880.53,0
4,14034.7,57.0471,9.67271,5510.74,0
5,12881.5,67.31,12.4419,10584.3,0
6,12031.3,51.2172,10.1312,20215.2,0
7,11665,58.9987,12.0419,38034.8,0
8,12032.8,88.5473,17.5411,69853.3,0
9,13561.6,162.965,28.7122,124128,429.465
10,16878.9,370.271,52.6837,211652,534.518
11,22759,620.272,65.6334,343640,720.729
12,32229.5,1139.13,85.4765,527574,1020.64
13,46059.3,2344.66,124.123,761180,3171.78
14,64245.2,3903.78,148.941,1.02667e+06,4424.12
15,86430.2,5602.38,159.228,1.289e+06,5951.85
16,111539,7329.32,161.494,1.50155e+06,7680.93
17,137682,10951.9,196.962,1.61935e+06,9481.21
18,160418,13986,216.782,1.61507e+06,10853.5
19,177816,16837.6,236.419,1.48972e+06,12030.6
20,188057,15090.4,198.768,1.27227e+06,12723.4
21,194780,22133.3,286.718,1.00833e+06,13178.3
22,188729,19121.4,253.891,744075,4404.17
23,180779,18824.8,261.354,513465,4218.65
24,169090,21425.5,322.091,333118,3945.87
25,151712,15302.4,252.696,204446,3540.34
26,138499,10889.1,194.58,119538,3539.71
27,128401,16872,334.907,67102.2,3281.64
28,111319,16711.3,386.774,36466.9,2845.05
29,93905.2,13547.9,370.445,19356.6,2400
30,79456.7,11745,380.324,10127.8,2030.74
31,66730.7,10294.3,398.414,5272.9,213.707
32,55459.7,8706.51,406.09,2757.89,177.612
33,45835.8,7588.26,430.41,1462.9,146.791
34,37413.1,6207.88,431.48,794.233,119.817
35,30470.4,4304.42,362.095,445.357,141.41
36,25528.3,3662.37,368.196,260.206,118.474
37,21301,3261.03,395.113,159.584,98.8554
38,17546,2446.6,357.038,103.446,81.4287
39,14674.2,1919.34,333.254,71.4434,0
40,12385.1,1437.23,293.205,52.8346,0
41,10624,896.497,209.496,41.907,0
42,9438.97,862.054,227.604,35.8764,0
43,8313.69,634.35,188.599,33.3081,0
44,7440.56,442.51,145.676,33.3928,10.9328
45,6778.28,310.354,111.339,36.1626,9.95967
46,6262.63,198.041,76.3278,42.471,9.20201
47,5870.47,183.445,75.4109,53.8069,8.62578
48,5502.04,129.2,56.44,73.0987,0
49,5196.75,60.0342,27.596,106.321,0
50,4968.32,37.8029,18.1392,164.677,0
51,4769.17,24.5869,12.275,269.447,0
52,4586.88,26.0864,13.5448,220.141,0
53,4410.88,19.4152,10.4763,393.562,0
54,4252.63,10.99,6.14514,726.251,0
55,4120,6.81683,3.93251,1370.85,0
56,4020.78,16.3434,9.67271,2622.58,0
57,3964.77,20.7173,12.4419,5037.07,0
58,4001.13,17.0327,10.1312,9620.48,0
59,4216.63,21.3266,12.0419,18100.9,0
60,4738.01,34.8663,17.5411,33243.3,0
61,5773.03,69.3726,28.7122,59072.8,182.819
62,7623.35,167.233,52.6837,100726,241.415
63,10658.8,290.495,65.6334,163539,337.542
64,15366.3,543.111,85.4765,251074,486.618
65,22112.8,1125.66,124.123,362247,1522.76
66,30895.4,1877.32,148.941,488595,2127.55
67,41546.1,2693.01,159.228,613439,2860.99
68,53559.4,3519.43,161.494,714591,3688.27
69,66042.2,5253.32,196.962,770654,4547.87
70,76877.9,6702.6,216.782,768614,5201.36
71,85154.9,8063.39,236.419,708959,5761.36
72,90010.6,7222.79,198.768,605478,6089.88
73,93193.7,10589.8,286.718,479868,6305.25
74,90274.8,9146.32,253.891,354107,2106.64
75,86457,9002.89,261.354,244359,2017.55
76,80858,10245.6,322.091,158532,1886.9
77,72543.3,7317.08,252.696,97296.4,1692.87
78,66223.1,5206.63,194.58,56888.3,1692.51
79,61394.3,8067.26,334.907,31934.1,1569.1
80,53226.7,7990.46,386.774,17354.7,1360.35
81,44900.9,6477.95,370.445,9211.83,1147.57
82,37992.8,5615.94,380.324,4819.85,971.01
83,31908.2,4922.34,398.414,2509.39,102.187
84,26519.2,4163.19,406.09,1312.49,84.9285
85,21917.6,3628.53,430.41,696.198,70.1919
86,17890.3,2968.5,431.48,377.977,57.2942
87,14570.6,2058.32,362.095,211.946,67.6204
88,12207.5,1751.32,368.196,123.832,56.6533
89,10186.1,1559.42,395.113,75.9466,47.2725
90,8390.53,1169.97,357.038,49.23,38.9394
91,7017.3,917.843,333.254,34.0001,0
92,5922.68,687.298,293.205,25.1441,0
93,5080.57,428.718,209.496,19.9436,0
94,4513.89,412.25,227.604,17.0737,0
95,3975.78,303.36,188.599,15.8514,0
96,3558.26,211.619,145.676,15.8917,5.22833
97,3241.56,148.42,111.339,17.2099,4.76298
98,2994.98,94.7092,76.3278,20.212,4.40067
99,2807.44,87.7294,75.4109,25.6068,4.12512
100,2631.26,61.7879,56.44,34.7879,0
101,2485.26,28.7104,27.596,50.5985,0
102,2376.02,18.0787,18.1392,78.3701,0
103,2280.78,11.7583,12.275,128.23,0
104,2198.05,12.5007,13.5448,333.027,0
105,2121.97,9.34019,10.4763,595.377,0
106,2061.32,5.32706,6.14514,1098.67,0
107,2026.38,3.35279,3.93251,2073.81,0
108,2033.5,8.2656,9.67271,3967.41,0
109,2111.23,11.0319,12.4419,7620.04,0
