timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,0.802656,462.575,0
1,18729.8,0,0.620818,826.98,0
2,16921.2,2.59457,0.364156,1526.05,0
3,15303.3,1.50165,0.233038,2880.53,0
4,13886.9,3.35149,0.573197,5510.74,0
5,12706.2,3.94433,0.7373,10584.3,0
6,11843.1,2.99369,0.600367,20215.2,0
7,11453.9,3.44125,0.713591,38034.8,0
8,11811.1,5.16875,1.03947,69853.3,0
9,13360.9,9.5693,1.70146,124128,423.11
10,16771.7,22.0344,3.122,211652,531.125
11,22943.1,37.5451,3.88939,343640,726.559
12,32946.9,70.1986,5.06528,527574,1043.36
13,47817.6,147.874,7.35542,761180,3292.87
14,68226.8,253.096,8.82611,1.02667e+06,4698.31
15,94175.3,373.438,9.43574,1.289e+06,6485.2
16,124734,501.639,9.57003,1.50155e+06,8589.59
17,158042,774.834,11.6718,1.61935e+06,10883.3
18,191476,1032.96,12.8464,1.61507e+06,12954.8
19,222509,1308.78,14.01,1.48972e+06,15054.4
20,249078,1232.33,11.7788,1.27227e+06,16852
21,270365,1927.37,16.9907,1.00833e+06,18292.2
22,285306,1801.77,15.0454,744075,6657.88
23,295194,1918.83,15.4876,513465,6888.63
24,300626,2406.42,19.0869,333118,7015.38
25,302168,1899.3,14.9746,204446,7051.36
26,301691,1461.26,11.5307,119538,7710.54
27,299799,2494.88,19.8463,67102.2,7662.18
28,295489,2837.98,22.9199,36466.9,7552.03
29,289822,2666.59,21.9523,19356.6,7407.21
30,283569,2678.3,22.5377,10127.8,7247.39
31,276717,2737.27,23.6097,5272.9,886.197
32,269349,2715.46,24.0646,2757.89,862.598
33,261646,2794.92,25.5058,1462.9,837.931
34,253590,2715.56,25.5692,794.233,812.132
35,245410,2207.3,21.4575,445.357,1138.92
36,237592,2172.82,21.819,260.206,1102.63
37,229699,2253.44,23.4141,159.584,1066
38,221660,1965.97,21.1578,103.446,1028.7
39,213882,1771.15,19.7484,71.4434,0
40,206298,1503.8,17.3751,52.8346,0
41,199003,1037.58,12.4146,41.907,0
42,192211,1088.54,13.4876,35.8764,0
43,185417,870.542,11.1762,33.3081,0
44,178908,649.16,8.63263,33.3928,262.878
45,172695,479.129,6.59789,36.1626,253.749
46,166734,317.267,4.52313,42.471,244.991
47,161024,302.724,4.46879,53.8069,236.601
48,155423,218.741,3.34459,73.0987,0
49,150009,103.264,1.63532,106.321,0
50,144816,65.5347,1.07491,164.677,0
51,139772,42.8063,0.727405,269.447,0
52,134861,45.5744,0.802656,238.401,0
53,130066,33.9978,0.620818,426.208,0
54,125408,19.2291,0.364156,786.494,0
55,120899,11.8633,0.233038,1484.56,0
56,116544,28.1269,0.573197,2840.12,0
57,112348,34.8757,0.7373,5454.9,0
58,108368,27.3932,0.600367,10418.5,0
59,104703,31.4574,0.713591,19602.3,0
60,101487,44.4128,1.03947,36000.9,0
61,98946.1,70.8669,1.70146,63972.9,3133.41
62,97415.8,127.983,3.122,109081,3084.95
63,97336.9,159.286,3.88939,177105,3082.45
64,99292.4,211.558,5.06528,271900,3144.38
65,103806,321.016,7.35542,392296,7148.38
66,111191,412.479,8.82611,529124,7656.99
67,121485,481.729,9.43574,664324,8365.81
68,134238,539.859,9.57003,773867,9244.03
69,148506,728.081,11.6718,834580,10226.6
70,162882,878.704,12.8464,832371,11020.2
71,176095,1035.78,14.01,767767,11914.1
72,187082,925.597,11.7788,655703,12657.5
73,195505,1393.72,16.9907,519673,13227.4
74,200636,1267.06,15.0454,383480,4682.02
75,203311,1321.57,15.4876,264629,4744.44
76,203778,1631.18,19.0869,171682,4755.35
77,202265,1271.36,14.9746,105367,4720.04
78,199891,968.185,11.5307,61607.2,5108.75
79,196939,1638.9,19.8463,34583,5033.32
80,192677,1850.54,22.9199,18794.2,4924.39
81,187756,1727.5,21.9523,9975.95,4798.63
82,182642,1725.05,22.5377,5219.66,4667.91
83,177298,1753.82,23.6097,2717.54,567.801
84,171757,1731.58,24.0646,1421.36,550.057
85,166121,1774.51,25.5058,753.948,532.009
86,160365,1717.26,25.5692,409.331,513.574
87,154623,1390.73,21.4575,229.527,717.585
88,149189,1364.36,21.819,134.104,692.368
89,143780,1410.54,23.4141,82.2464,667.266
90,138344,1227.01,21.1578,53.3136,642.037
91,133128,1102.42,19.7484,36.8204,0
92,128083,933.656,17.3751,27.2298,0
93,123262,642.673,12.4146,21.598,0
94,118793,672.754,13.4876,18.4899,0
95,114358,536.913,11.1762,17.1663,0
96,110129,399.599,8.63263,17.21,161.818
97,106111,294.398,6.59789,18.6374,155.915
98,102274,194.609,4.52313,21.8886,150.276
99,98612,185.39,4.46879,27.7309,144.896
100,95037.6,133.755,3.34459,37.6735,0
101,91595.4,63.0527,1.63532,54.7956,0
102,88305,39.9613,1.07491,84.8709,0
103,85119.6,26.0687,0.727405,138.867,0
104,82037.4,27.7235,0.802656,532.022,0
105,79044.3,20.6613,0.620818,951.135,0
106,76157.4,11.6774,0.364156,1755.16,0
107,73393.7,7.20185,0.233038,3312.98,0
108,70778.1,17.0817,0.573197,6338.07,0
109,68352.4,21.2183,0.7373,12173.3,0
110,66227.7,16.741,0.600367,23250.2,0
111,64602.2,19.4094,0.713591,43745,0
112,63793.6,27.9173,1.03947,80340.4,0
113,64319.7,46.0669,1.70146,142763,2036.87
114,66951.1,87.959,3.122,243427,2120.19
115,72715.2,118.994,3.88939,395231,2302.73
116,82866.4,176.56,5.06528,606779,2624.2
117,98593.6,304.898,7.35542,875457,6789.46
118,120656,447.59,8.82611,1.18081e+06,8308.76
119,149078,591.145,9.43574,1.48252e+06,10266
120,182811,735.204,9.57003,1.72698e+06,12588.9
121,219727,1077.25,11.6718,1.86247e+06,15131.1
122,256780,1385.26,12.8464,1.85754e+06,17373.1
123,291085,1712.14,14.01,1.71337e+06,19694.1
124,320272,1584.56,11.7788,1.46328e+06,21668.8
125,343451,2448.39,16.9907,1.15971e+06,23237
126,359296,2269.03,15.0454,855783,8384.51
127,369396,2401.16,15.4876,590552,8620.21
128,374404,2997,19.0869,383130,8737.07
