timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,1.60531,462.575,0
1,18729.8,0,1.24164,826.98,0
2,16923,5.18928,0.728313,1526.05,0
3,15308.6,3.00421,0.466076,2880.53,0
4,13896.4,6.70672,1.14639,5510.74,0
5,12717.5,7.89442,1.4746,10584.3,0
6,11855.3,5.99278,1.20073,20215.2,0
7,11467.7,6.88973,1.42718,38034.8,0
8,11825.6,10.348,2.07894,69853.3,0
9,13374.3,19.1509,3.40292,124128,423.536
10,16779.5,44.0598,6.24399,211652,531.371
11,22932.6,74.9935,7.77878,343640,726.227
12,32902.3,140.056,10.1306,527574,1041.95
13,47705.1,294.591,14.7108,761180,3285.12
14,67966.2,503.31,17.6522,1.02667e+06,4680.36
15,93657.2,741.272,18.8715,1.289e+06,6449.53
16,123834,994.002,19.1401,1.50155e+06,8527.57
17,156627,1531.97,23.3436,1.61935e+06,10785.8
18,189267,2036.5,25.6927,1.61507e+06,12805.3
19,219248,2571.51,28.0201,1.48972e+06,14833.8
20,244497,2413.25,23.5577,1.27227e+06,16542
21,264551,3758.21,33.9814,1.00833e+06,17898.8
22,277601,3494.98,30.0908,744075,6478.07
23,285756,3702.71,30.9753,513465,6668.39
24,289389,4614.13,38.1738,333118,6753.17
25,288734,3618.15,29.9492,204446,6737.87
26,286603,2769.55,23.0614,119538,7324.94
27,283525,4698.98,39.6927,67102.2,7246.26
28,277169,5298.11,45.8399,36466.9,7083.81
29,269259,4931.65,43.9045,19356.6,6881.66
30,261031,4907.22,45.0755,10127.8,6671.36
31,252312,4966.65,47.2194,5272.9,808.036
32,243149,4877.55,48.1292,2757.89,778.692
33,233794,4967.73,51.0116,1462.9,748.735
34,224150,4774.51,51.1384,794.233,717.848
35,214569,3842.2,42.9149,445.357,995.79
36,205844,3747.49,43.638,260.206,955.299
37,197165,3849.27,46.8282,159.584,915.017
38,188373,3326.43,42.3157,103.446,874.215
39,180129,2970.75,39.4968,71.4434,0
40,172284,2502.43,34.7502,52.8346,0
41,164965,1715.66,24.8291,41.907,0
42,158496,1790.05,26.9753,35.8764,0
43,152018,1424.06,22.3525,33.3081,0
44,145985,1057.45,17.2653,33.3928,214.504
45,140401,777.966,13.1958,36.1626,206.298
46,135177,513.942,9.04626,42.471,198.623
47,130300,489.46,8.93758,53.8069,191.457
48,125532,353.093,6.68919,73.0987,0
49,120991,166.518,3.27063,106.321,0
50,116726,105.621,2.14983,164.677,0
51,112613,68.9667,1.45481,269.447,0
52,108627,73.4057,1.60531,238.249,0
53,104734,54.7455,1.24164,425.936,0
54,100963,30.9595,0.728313,785.993,0
55,97326.5,19.0996,0.466076,1483.62,0
56,93826.2,45.2827,1.14639,2838.31,0
57,90450.5,56.1473,1.4746,5451.43,0
58,87263.2,44.111,1.20073,10411.9,0
59,84372.2,50.6906,1.42718,19589.8,0
60,81904.5,71.6701,2.07894,35977.9,0
61,80080.3,114.668,3.40292,63932.1,2535.97
62,79227.4,208.036,6.24399,109011,2508.96
63,79767.3,260.852,7.77878,176992,2526.06
64,82298.5,350.321,10.1306,271727,2606.21
65,87328.7,539.275,14.7108,392046,6013.72
66,95130.3,704.469,17.6522,528787,6550.97
67,105745,836.94,18.8715,663901,7281.9
68,118735,953.071,19.1401,773373,8176.43
69,133161,1302.45,23.3436,834048,9169.91
70,147514,1587.23,25.6927,831841,9980.39
71,160548,1883.03,28.0201,767278,10862.3
72,171203,1689.81,23.5577,655285,11583.1
73,179368,2548.11,33.9814,519342,12135.6
74,183835,2314.48,30.0908,383236,4289.97
75,185955,2409.52,30.9753,264460,4339.43
76,185828,2962.91,38.1738,171573,4336.46
77,183479,2299.2,29.9492,105300,4281.66
78,180591,1745.11,23.0614,61567.9,4615.49
79,177392,2939.99,39.6927,34561,4533.74
80,172366,3294.79,45.8399,18782.3,4405.28
81,166558,3050.61,43.9045,9969.6,4256.85
82,160705,3021.16,45.0755,5216.33,4107.26
83,154676,3044.73,47.2194,2715.81,495.354
84,148483,2978.56,48.1292,1420.45,475.522
85,142267,3022.94,51.0116,753.468,455.616
86,135958,2895.97,51.1384,409.07,435.41
87,129760,2323.55,42.9149,229.381,602.2
88,124142,2260.06,43.638,134.019,576.128
89,118605,2315.55,46.8282,82.194,550.433
90,113050,1996.32,42.3157,53.2797,524.65
91,107866,1778.96,39.4968,36.7969,0
92,102958,1495.46,34.7502,27.2125,0
93,98396.4,1023.34,24.8291,21.5842,0
94,94370.1,1065.81,26.9753,18.4781,0
95,90362.4,846.488,22.3525,17.1553,0
96,86641.2,627.591,17.2653,17.199,127.306
97,83204.8,461.041,13.1958,18.6256,122.257
98,79999.1,304.155,9.04626,21.8747,117.547
99,77013.1,289.292,8.93758,27.7132,113.159
