timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,5.11693,462.575,0
1,18729.8,0,3.95772,826.98,0
2,16930.7,16.5428,2.3215,1526.05,0
3,15332,9.58842,1.48562,2880.53,0
4,13937.5,21.4294,3.65413,5510.74,0
5,12766.5,25.2429,4.70029,10584.3,0
6,11908.2,19.1764,3.82734,20215.2,0
7,11527.2,22.0603,4.54914,38034.8,0
8,11888.5,33.1272,6.62664,69853.3,0
9,13431.9,61.2086,10.8468,124128,425.358
10,16811.8,140.302,19.9027,211652,532.394
11,22884.9,237.68,24.7948,343640,724.716
12,32706.2,441.673,32.2911,527574,1035.73
13,47215.9,923.021,46.8908,761180,3251.43
14,66841.7,1564.83,56.2665,1.02667e+06,4602.92
15,91439.8,2286.66,60.1529,1.289e+06,6296.83
16,120008,3043.23,61.0089,1.50155e+06,8264.12
17,150655,4646.15,74.4077,1.61935e+06,10374.5
18,180029,6101.04,81.8955,1.61507e+06,12180.3
19,205743,7592.1,89.314,1.48972e+06,13920
20,225729,7024.25,75.0901,1.27227e+06,15272.2
21,240959,10739.9,108.316,1.00833e+06,16302.7
22,246782,9765.78,95.9143,744075,5758.89
23,248506,10117,98.7337,513465,5799.13
24,245662,12265.6,121.679,333118,5732.75
25,237393,9350.92,95.4631,204446,5539.79
26,229771,7001.76,73.5082,119538,5872.43
27,222905,11560.4,126.52,67102.2,5696.96
28,210268,12541.7,146.115,36466.9,5373.97
29,195899,11206,139.946,19356.6,5006.74
30,182418,10704.7,143.678,10127.8,4662.2
31,169149,10383.1,150.512,5272.9,541.705
32,156036,9756.76,153.412,2757.89,499.711
33,143481,9490.56,162.599,1462.9,459.503
34,131188,8698.26,163.004,794.233,420.134
35,119740,6699.55,136.791,445.357,555.7
36,110375,6276.56,139.096,260.206,512.238
37,101509,6181.1,149.265,159.584,471.093
38,92836.7,5123.82,134.881,103.446,430.844
39,85338.2,4404.58,125.896,71.4434,0
40,78668.8,3583.86,110.766,52.8346,0
41,72925.3,2389.72,79.1429,41.907,0
42,68467.4,2434.02,85.9837,35.8764,0
43,64040.1,1892.4,71.2485,33.3081,0
44,60234,1379.58,55.033,33.3928,88.5048
45,57010,1000.73,42.0616,36.1626,83.7677
46,54224.4,654.366,28.835,42.471,79.6746
47,51836.8,618.084,28.4885,53.8069,76.1665
48,49532.7,442.709,21.3218,73.0987,0
49,47451.4,207.847,10.4251,106.321,0
50,45648.6,131.53,6.85258,164.677,0
51,43962.4,85.7606,4.63721,269.447,0
52,42358.8,91.1714,5.11693,235.149,0
53,40791.1,67.924,3.95772,420.394,0
54,39292.4,38.3921,2.3215,775.765,0
55,37875.3,23.6868,1.48562,1464.31,0
56,36537.8,56.1783,3.65413,2801.37,0
57,35258.3,69.7156,4.70029,5380.49,0
58,34103.3,54.9185,3.82734,10276.4,0
59,33185.5,63.5091,4.54914,19334.9,0
60,32625,90.9095,6.62664,35509.8,0
61,32635.3,148.718,10.8468,63100.2,1033.49
62,33531.7,279.836,19.9027,107593,1061.88
63,35707.2,370.85,24.7948,174689,1130.77
64,39752.7,536.831,32.2911,268191,1258.88
65,46129.7,901.787,46.8908,386944,3176.63
66,55002.2,1287.65,56.2665,521906,3787.62
67,66363.1,1659.56,60.1529,655261,4569.97
68,79760.8,2022.62,61.0089,763310,5492.57
69,94261.2,2906.99,74.4077,823195,6491.12
70,108071,3662.46,81.8955,821016,7311.83
71,120034,4429.36,89.314,757294,8121.19
72,129106,4017.53,75.0901,646758,8734.96
73,135912,6057.82,108.316,512583,9195.45
74,137813,5453.61,95.9143,378249,3216
75,137771,5608.82,98.7337,261019,3215
76,135457,6763.2,121.679,169340,3161
77,130351,5134.53,95.4631,103930,3041.86
78,125748,3831.9,73.5082,60766.7,3213.85
79,121661,6309.62,126.52,34111.2,3109.38
80,114501,6829.55,146.115,18537.9,2926.38
81,106465,6090.09,139.946,9839.86,2721
82,98965.3,5807.49,143.678,5148.45,2529.33
83,91623.6,5624.26,150.512,2680.47,293.428
84,84402.1,5277.56,153.412,1401.97,270.3
85,77511.9,5127.02,162.599,743.663,248.234
86,70788.4,4693.54,163.004,403.747,226.702
87,64542.3,3611.19,136.791,226.396,299.533
88,59436,3379.87,139.096,132.275,275.835
89,54612.4,3325.46,149.265,81.1244,253.45
90,49904.7,2754.33,134.881,52.5863,231.602
91,45838.2,2365.86,125.896,36.3181,0
92,42225.4,1923.63,110.766,26.8584,0
93,39116.3,1281.82,79.1429,21.3033,0
94,36702.1,1304.76,85.9837,18.2377,0
95,34308.8,1013.83,71.2485,16.9321,0
96,32252,738.691,55.033,16.9752,47.3895
