timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,SimYear,2007,1,0.0667493,20730.6,1309.24
2,SimYear,2007,2,0.0671799,18729.8,1190.26
3,SimYear,2007,3,0.0693331,16921.7,1108.65
4,SimYear,2007,4,0.0628735,15276.2,910.479
5,SimYear,2007,5,0.0792379,13927.1,1037.76
6,SimYear,2007,6,0.0822524,12588.3,972.244
7,SimYear,2007,7,0.0848362,11532.8,917.545
8,SimYear,2007,8,0.0533994,10889,553.772
9,SimYear,2007,9,0.0697638,11204,738.452
10,SimYear,2007,10,0.0818217,12314.6,946.326
11,SimYear,2007,11,0.0762234,14783.3,1061.21
12,SimYear,2007,12,0.103354,19491.8,1872.24
13,SimYear,2007,13,0.102923,26655.1,2550.17
14,SimYear,2007,14,0.0968941,37312.7,3370.59
15,SimYear,2007,15,0.109383,51932.6,5263.76
16,SimYear,2007,16,0.0960329,69416.8,6217.55
17,SimYear,2007,17,0.0930184,89938,7814.23
18,SimYear,2007,18,0.0813911,111228,8504.25
19,SimYear,2007,19,0.0990473,132099,12185.3
20,SimYear,2007,20,0.0865588,147260,11943.8
21,SimYear,2007,21,0.0650267,159025,9792.31
22,SimYear,2007,22,0.0951716,168420,14956.1
23,SimYear,2007,23,0.0792379,167713,12496.9
24,SimYear,2007,24,0.0925877,165190,14289.1
25,SimYear,2007,25,0.0852668,157281,12574.1
26,SimYear,2007,26,0.071917,148455,10076
27,SimYear,2007,27,0.0684719,140296,9081.36
28,SimYear,2007,28,0.0602897,131867,7546.01
29,SimYear,2007,29,0.0533994,124149,6313.78
30,SimYear,2007,30,0.0434947,117119,4875.15
31,SimYear,2007,31,0.0374657,111167,3997.84
32,SimYear,2007,32,0.0370351,105837,3763.22
33,SimYear,2007,33,0.0318674,100555,3084.36
34,SimYear,2007,34,0.027561,95825.9,2547.51
35,SimYear,2007,35,0.0232546,91540.6,2057.72
36,SimYear,2007,36,0.0189482,87676.3,1609.3
37,SimYear,2007,37,0.021532,84209,1754.19
38,SimYear,2007,38,0.0129192,80557.7,1011.18
39,SimYear,2007,39,0.010766,77632.2,812.912
40,SimYear,2007,40,0.00818217,74885.9,596.721
41,SimYear,2007,41,0.010766,72344.8,757.547
42,SimYear,2007,42,0.00861281,69639.3,583.996
43,SimYear,2007,43,0.00645961,67116.6,422.581
44,SimYear,2007,44,0.00990473,64768.1,624.217
45,SimYear,2007,45,0.0198095,62236.1,1193.76
46,SimYear,2007,46,0.0254078,59168.8,1451.64
47,SimYear,2007,47,0.0366045,55898.9,1964.89
48,SimYear,2007,48,0.0426334,52187.1,2130.21
49,SimYear,2007,49,0.0615816,48398.9,2827.15
50,SimYear,2007,50,0.0529688,44018,2221.01
51,SimYear,2007,51,0.0581365,40358.8,2229.38
52,SimYear,2007,52,0.0559833,36796,1959.37
53,SimYear,2008,1,0.0667493,33626.1,2123.65
54,SimYear,2008,2,0.0671799,30411.2,1932.59
55,SimYear,2008,3,0.0693331,27527.4,1803.5
56,SimYear,2008,4,0.0628735,24944.9,1486.74
57,SimYear,2008,5,0.0792379,22918.2,1707.71
58,SimYear,2008,6,0.0822524,21047.9,1625.61
59,SimYear,2008,7,0.0848362,19906.6,1583.76
60,SimYear,2008,8,0.0533994,19930.3,1013.58
61,SimYear,2008,9,0.0697638,22466.2,1480.74
62,SimYear,2008,10,0.0818217,27789.4,2135.5
63,SimYear,2008,11,0.0762234,37686.4,2705.3
64,SimYear,2008,12,0.103354,54907,5273.97
65,SimYear,2008,13,0.102923,80530.2,7704.54
66,SimYear,2008,14,0.0968941,117753,10637
67,SimYear,2008,15,0.109383,168141,17042.4
68,SimYear,2008,16,0.0960329,228142,20434.3
69,SimYear,2008,17,0.0930184,298185,25907.7
70,SimYear,2008,18,0.0813911,370712,28343.7
71,SimYear,2008,19,0.0990473,441689,40743.2
72,SimYear,2008,20,0.0865588,493402,40018.2
73,SimYear,2008,21,0.0650267,533543,32854
74,SimYear,2008,22,0.0951716,565572,50224.2
75,SimYear,2008,23,0.0792379,563550,41992
76,SimYear,2008,24,0.0925877,555320,48035.5
77,SimYear,2008,25,0.0852668,528901,42283.9
78,SimYear,2008,26,0.071917,499346,33891.6
79,SimYear,2008,27,0.0684719,471991,30551.9
80,SimYear,2008,28,0.0602897,443701,25390.5
81,SimYear,2008,29,0.0533994,417785,21247
82,SimYear,2008,30,0.0434947,394168,16407.5
83,SimYear,2008,31,0.0374657,374172,13456.2
84,SimYear,2008,32,0.0370351,356262,12667.5
85,SimYear,2008,33,0.0318674,338507,10383.2
