timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,58.7096,1614.72,0
1,2.47691e+06,0,45.1137,1750.57,0
2,2.37468e+06,806.636,25.9558,2032.89,0
3,2.27701e+06,494.998,17.9219,2529.27,0
4,2.18345e+06,1167.32,38.9337,3373.35,0
5,2.0929e+06,1439.13,48.2037,4789.81,0
6,2.00567e+06,1123.08,36.4617,7191.72,0
7,1.92226e+06,1279.3,43.2597,11369.4,0
8,1.84214e+06,1785.59,51.9116,18804.6,0
9,1.76498e+06,2799.44,74.1595,32273.5,55893.1
10,1.69042e+06,4916.37,124.835,57021.1,53531.8
11,1.61773e+06,5859.31,136.577,102879,51229.8
12,1.54882e+06,7301.68,161.915,187910,49047.8
13,1.48458e+06,10152.2,224.332,344385,102233
14,1.42615e+06,11694.5,262.03,627750,98208.9
15,1.3792e+06,12087.1,274.39,1.12822e+06,94975.8
16,1.35199e+06,12016.6,270.682,1.98226e+06,93102.3
17,1.35591e+06,14683.5,294.166,3.3771e+06,93372.1
18,1.40379e+06,16722.6,321.976,5.53601e+06,94977
19,1.51637e+06,19689.2,318.886,8.6701e+06,102594
20,1.71536e+06,18745.5,267.592,1.2889e+07,116057
21,2.0256e+06,31852,380.067,1.80843e+07,137047
22,2.44567e+06,34085.6,322.594,2.38321e+07,57071.9
23,2.98464e+06,42811.1,331.864,2.9382e+07,69649.4
24,3.61462e+06,63788.2,386.865,3.37875e+07,84350.6
25,4.28317e+06,59416.3,297.256,3.61673e+07,99951.7
26,4.96464e+06,53117.1,231.748,3.60031e+07,126885
27,5.60834e+06,102873,383.775,3.33314e+07,143336
28,6.11358e+06,129320,444.957,2.87302e+07,156249
29,6.4784e+06,131311,415.293,2.31057e+07,165573
30,6.7208e+06,139819,426.417,1.7392e+07,171769
31,6.84206e+06,149037,449.901,1.23027e+07,21911.9
32,6.85832e+06,152236,456.699,8.21927e+06,21964
33,6.79562e+06,159770,496.251,5.21634e+06,21763.2
34,6.66828e+06,157161,499.34,3.16551e+06,21355.4
35,6.50212e+06,128851,430.125,1.85012e+06,30175.5
36,6.3349e+06,127631,438.159,1.04955e+06,29399.5
37,6.14735e+06,132807,476.475,582671,28529.1
38,5.93893e+06,116064,443.103,319285,27561.9
39,5.7361e+06,104702,419.619,174204,0
40,5.53624e+06,89009.3,406.641,95475.3,0
41,5.34583e+06,61554,312.088,53031.8,0
42,5.17812e+06,64743.7,330.628,30111.8,0
43,5.00328e+06,51893.7,302.818,17618.6,0
44,4.83862e+06,38810.7,265.12,10708,7109.63
45,4.68506e+06,28749.1,226.186,6815.25,6884
46,4.5401e+06,19117.7,187.253,4569.82,6671
47,4.40379e+06,18321.4,176.747,3242.26,6470.71
48,4.26768e+06,13295.6,152.027,2451.56,0
49,4.13653e+06,6306.1,88.9914,1987.85,0
50,4.0126e+06,4021.97,72.9235,1726.28,0
51,3.89145e+06,2639.96,50.0576,1606.81,0
52,3.77243e+06,2823.87,58.7096,0.136046,0
53,3.65429e+06,2115.92,45.1137,0.147491,0
54,3.5382e+06,1201.86,25.9558,0.171278,0
55,3.42458e+06,744.468,17.9219,0.2131,0
56,3.31315e+06,1771.28,38.9337,0.284216,0
57,3.2026e+06,2202.19,48.2037,0.403557,0
58,3.0937e+06,1732.33,36.4617,0.605926,0
59,2.98748e+06,1988.23,43.2597,0.957913,0
60,2.8833e+06,2794.79,51.9116,1.58435,0
61,2.78071e+06,4410.5,74.1595,2.71915,88059.1
62,2.67901e+06,7791.56,124.835,4.80422,84838.4
63,2.57655e+06,9332.13,136.577,8.66791,81593.9
64,2.47531e+06,11669.5,161.915,15.832,78387.8
65,2.37458e+06,16238.4,224.332,29.0156,163521
66,2.27224e+06,18632.4,262.03,52.89,156473
67,2.17059e+06,19022.8,274.39,95.056,149474
68,2.07168e+06,18413.3,270.682,167.012,142663
69,1.97649e+06,21403.9,294.166,284.532,136107
70,1.88139e+06,22412,321.976,466.427,127290
71,1.78843e+06,23221.6,318.886,730.485,121000
72,1.69777e+06,18553.3,267.592,1085.94,114867
73,1.61478e+06,25392,380.067,1523.66,109252
74,1.52792e+06,21294.8,322.594,2007.93,35655.4
75,1.44813e+06,20771.7,331.864,2475.53,33793.4
76,1.37166e+06,24206.1,386.865,2846.71,32009
77,1.29455e+06,17958.1,297.256,3047.22,30209.6
