timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,2.8093,462.575,0
1,18729.8,0,2.17286,826.98,0
2,16925.6,9.08161,1.27455,1526.05,0
3,15316.7,5.25973,0.815633,2880.53,0
4,13910.5,11.7465,2.00619,5510.74,0
5,12734.4,13.8303,2.58055,10584.3,0
6,11873.5,10.5015,2.10128,20215.2,0
7,11488.2,12.0759,2.49757,38034.8,0
8,11847.4,18.1362,3.63815,69853.3,0
9,13394.3,33.5458,5.95512,124128,424.168
10,16790.9,77.0798,10.927,211652,531.731
11,22916.6,130.984,13.6129,343640,725.719
12,32835.3,244.201,17.7285,527574,1039.82
13,47536.9,512.507,25.744,761180,3273.54
14,67577.8,873.289,30.8914,1.02667e+06,4653.61
15,92888,1282.69,33.0251,1.289e+06,6396.56
16,122501,1715.53,33.4951,1.50155e+06,8435.82
17,154539,2635.35,40.8513,1.61935e+06,10642
18,186023,3488.42,44.9622,1.61507e+06,12585.8
19,214481,4382.62,49.0351,1.48972e+06,14511.2
20,237833,4092.63,41.226,1.27227e+06,16091.2
21,256132,6333.11,59.4675,1.00833e+06,17329.3
22,266520,5843.92,52.6589,744075,6219.5
23,272270,6143.44,54.2067,513465,6353.67
24,273440,7583.34,66.8041,333118,6380.97
25,269830,5888.96,52.4111,204446,6296.73
26,265519,4473.62,40.3574,119538,6786.07
27,260904,7519.33,69.4622,67102.2,6668.12
28,251946,8366.52,80.2197,36466.9,6439.17
29,241265,7679.12,76.8329,19356.6,6166.2
30,230682,7534.79,78.8821,10127.8,5895.7
31,219819,7515.51,82.634,5272.9,703.978
32,208684,7269.8,84.2262,2757.89,668.316
33,197605,7288.3,89.2703,1462.9,632.836
34,186395,6891.61,89.4923,794.233,596.936
35,175537,5463.16,75.1011,445.357,814.646
36,166109,5255.42,76.3665,260.206,770.89
37,156901,5320.71,81.9494,159.584,728.16
38,147675,4532.86,74.0524,103.446,685.343
39,139314,3995.54,69.1194,71.4434,0
40,131573,3325.92,60.8129,52.8346,0
41,124591,2258.61,43.451,41.907,0
42,118762,2337.16,47.2067,35.8764,0
43,112931,1844.73,39.1168,33.3081,0
44,107679,1361.2,30.2142,33.3928,158.218
45,102993,996.596,23.0926,36.1626,151.333
46,98747.5,656.062,15.831,42.471,145.095
47,94914.5,623.046,15.6408,53.8069,139.463
48,91184.7,448.361,11.7061,73.0987,0
49,87702.3,211.12,5.72361,106.321,0
50,84527.7,133.805,3.7622,164.677,0
51,81499.1,87.3255,2.54592,269.447,0
52,78583.7,92.9073,2.8093,237.577,0
53,75734.8,69.2638,2.17286,424.735,0
54,72986.8,39.1617,1.27455,783.776,0
55,70353.2,24.1592,0.815633,1479.43,0
56,67832.3,57.28,2.00619,2830.3,0
57,65401.8,71.0302,2.58055,5436.05,0
58,63129.6,55.8346,2.10128,10382.5,0
59,61129.6,64.2566,2.49757,19534.6,0
60,59523.2,91.1193,3.63815,35876.5,0
61,58526.4,146.578,5.95512,63751.8,1853.4
62,58459.7,268.364,10.927,108704,1851.29
63,59728.2,341.386,13.6129,176493,1891.46
64,62937.4,468.076,17.7285,270961,1993.09
65,68576.7,739.342,25.744,390940,4722.4
66,76871.5,993.39,30.8914,527296,5293.61
67,87856,1213.21,33.0251,662028,6050.03
68,101095,1415.75,33.4951,771192,6961.74
69,115655,1972.26,40.8513,831696,7964.34
70,129902,2435.99,44.9622,829495,8788.81
71,142627,2914.38,49.0351,765114,9649.78
72,152770,2628.86,41.226,653437,10336
73,160511,3968.78,59.4675,517877,10859.8
74,164056,3597.2,52.6589,382155,3828.39
75,165396,3731.97,54.2067,263715,3859.67
76,164458,4560.92,66.8041,171089,3837.77
77,161029,3514.41,52.4111,105003,3757.75
78,157468,2653.12,40.3574,61394.2,4024.54
79,153931,4436.33,69.4622,34463.5,3934.13
80,147988,4914.35,80.2197,18729.3,3782.25
81,141168,4493.17,76.8329,9941.48,3607.93
82,134513,4393.62,78.8821,5201.62,3437.85
83,127785,4368.9,82.634,2708.15,409.236
