timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,19.7159,1614.72,0
1,2.47691e+06,0,15.1501,1750.57,0
2,2.37446e+06,270.891,8.71651,2032.89,0
3,2.27626e+06,166.188,6.01854,2529.27,0
4,2.18207e+06,391.833,13.0748,3373.35,0
5,2.09144e+06,483.065,16.1878,4789.81,0
6,2.00437e+06,376.983,12.2446,7191.72,0
7,1.92099e+06,429.43,14.5275,11369.4,0
8,1.84106e+06,599.481,17.433,18804.6,0
9,1.76446e+06,940.339,24.9043,32273.5,55876.7
10,1.69115e+06,1653.36,41.9222,57021.1,53555.1
11,1.62108e+06,1974.18,45.8654,102879,51336.2
12,1.55535e+06,2466.31,54.3744,187910,49254.5
13,1.49512e+06,3441.47,75.3355,344385,102959
14,1.44241e+06,3983.05,87.9952,627750,99328.6
15,1.40197e+06,4138.37,92.1459,1.12822e+06,96543.7
16,1.38128e+06,4135.24,90.9007,1.98226e+06,95119.1
17,1.39144e+06,5078.83,98.7871,3.3771e+06,95818.9
18,1.44709e+06,5812.42,108.126,5.53601e+06,97906.7
19,1.56856e+06,6869.75,107.089,8.6701e+06,106125
20,1.7782e+06,6549.93,89.863,1.2889e+07,120308
21,2.09837e+06,11140.1,127.635,1.80843e+07,141970
22,2.537e+06,11930.3,108.334,2.38321e+07,59203.3
23,3.09604e+06,14986.1,111.447,2.9382e+07,72248.9
24,3.75197e+06,22368.9,129.917,3.37875e+07,87555.6
25,4.46055e+06,20877.4,99.8247,3.61673e+07,104091
26,5.17917e+06,18676.1,77.8259,3.60031e+07,132368
27,5.85574e+06,36296.1,128.88,3.33314e+07,149660
28,6.4268e+06,45982.6,149.426,2.87302e+07,164254
29,6.87446e+06,47116.2,139.464,2.31057e+07,175696
30,7.20007e+06,50659.3,143.2,1.7392e+07,184018
31,7.40871e+06,54597.4,151.086,1.23027e+07,23726.6
32,7.51643e+06,56454.4,153.369,8.21927e+06,24071.6
33,7.54486e+06,60047.9,166.651,5.21634e+06,24162.7
34,7.51059e+06,59923.2,167.689,3.16551e+06,24052.9
35,7.43256e+06,49797.1,144.445,1.85012e+06,34493.6
36,7.33241e+06,49951,147.143,1.04955e+06,34028.8
37,7.20792e+06,52679.2,160.01,582671,33451.1
38,7.06237e+06,46658.3,148.803,319285,32775.6
39,6.90885e+06,42613,140.917,174204,0
40,6.74837e+06,36634.9,136.559,95475.3,0
41,6.58517e+06,25562.9,104.806,53031.8,0
42,6.42614e+06,27097.1,111.032,30111.8,0
43,6.25996e+06,21880.8,101.693,17618.6,0
44,6.09475e+06,16461.5,89.0329,10708,8955.32
45,5.9317e+06,12248.9,75.9581,6815.25,8715.75
46,5.77047e+06,8171.56,62.8834,4569.82,8478.84
47,5.61167e+06,7851.29,59.3553,3242.26,8245.51
48,5.4522e+06,5710.21,51.0538,2451.56,0
49,5.29455e+06,2711.97,29.8852,1987.85,0
50,5.14006e+06,1730.75,24.4892,1726.28,0
51,4.98718e+06,1136.45,16.8104,1606.81,0
52,4.8359e+06,1215.96,19.7159,0.0939378,0
53,4.68596e+06,911.356,15.1501,0.101841,0
54,4.53809e+06,517.729,8.71651,0.118265,0
55,4.39264e+06,320.703,6.01854,0.147142,0
56,4.24967e+06,763.11,13.0748,0.196247,0
57,4.10876e+06,949.011,16.1878,0.278651,0
58,3.97035e+06,746.743,12.2446,0.418384,0
59,3.83498e+06,857.295,14.5275,0.661426,0
60,3.70246e+06,1205.59,17.433,1.09397,0
61,3.57266e+06,1903.98,24.9043,1.87753,113138
62,3.44532e+06,3368.32,41.9222,3.31725,109106
63,3.31976e+06,4042.84,45.8654,5.98507,105130
64,3.19687e+06,5069.27,54.3744,10.9318,101238
65,3.07633e+06,7081.09,75.3355,20.0349,211846
66,2.95722e+06,8166.04,87.9952,36.5199,203643
67,2.84053e+06,8384.77,92.1459,65.6349,195608
68,2.72712e+06,8164.41,90.9007,115.32,187798
69,2.61742e+06,9553.72,98.7871,196.465,180243
70,2.50978e+06,10080.8,108.126,322.062,169806
71,2.40508e+06,10533.4,107.089,504.39,162722
72,2.30335e+06,8484.31,89.863,749.826,155839
73,2.207e+06,11716.8,127.635,1052.07,149320
