timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,17.5253,1614.72,0
1,2.47691e+06,0,13.4668,1750.57,0
2,2.37444e+06,240.792,7.74801,2032.89,0
3,2.27622e+06,147.721,5.34981,2529.27,0
4,2.182e+06,348.287,11.622,3373.35,0
5,2.09135e+06,429.379,14.3892,4789.81,0
6,2.0043e+06,335.087,10.8841,7191.72,0
7,1.92092e+06,381.706,12.9133,11369.4,0
8,1.841e+06,532.864,15.496,18804.6,0
9,1.76443e+06,835.868,22.1372,32273.5,55875.8
10,1.69119e+06,1469.77,37.2642,57021.1,53556.4
11,1.62127e+06,1755.15,40.7693,102879,51342.2
12,1.55571e+06,2192.99,48.3328,187910,49266.1
13,1.49571e+06,3060.69,66.9649,344385,102999
14,1.44332e+06,3543.29,78.218,627750,99391.8
15,1.40326e+06,3682.55,81.9075,1.12822e+06,96632.5
16,1.38294e+06,3680.82,80.8006,1.98226e+06,95233.7
17,1.39346e+06,4522.02,87.8107,3.3771e+06,95958.3
18,1.44957e+06,5176.61,96.1122,5.53601e+06,98074.2
19,1.57156e+06,6119.61,95.1898,8.6701e+06,106327
20,1.78182e+06,5835.23,79.8782,1.2889e+07,120553
21,2.10257e+06,9925.1,113.453,1.80843e+07,142255
22,2.54229e+06,10629.7,96.2966,2.38321e+07,59326.8
23,3.10251e+06,13352.5,99.0638,2.9382e+07,72399.8
24,3.75996e+06,19932.5,115.482,3.37875e+07,87742
25,4.47089e+06,18605.7,88.7331,3.61673e+07,104332
26,5.1917e+06,16644.6,69.1786,3.60031e+07,132688
27,5.8702e+06,32354.2,114.56,3.33314e+07,150029
28,6.44514e+06,41006.7,132.823,2.87302e+07,164723
29,6.89774e+06,42039.2,123.968,2.31057e+07,176291
30,7.22836e+06,45225.4,127.289,1.7392e+07,184741
31,7.44231e+06,48771.4,134.299,1.23027e+07,23834.2
32,7.55567e+06,50465.1,136.328,8.21927e+06,24197.3
33,7.5898e+06,53718,148.134,5.21634e+06,24306.6
34,7.56145e+06,53649.9,149.057,3.16551e+06,24215.8
35,7.48913e+06,44617.8,128.396,1.85012e+06,34756.1
36,7.39341e+06,44787.5,130.794,1.04955e+06,34311.9
37,7.27317e+06,47269.4,142.231,582671,33753.9
38,7.13195e+06,41898.3,132.27,319285,33098.5
39,6.98193e+06,38292.2,125.259,174204,0
40,6.82434e+06,32941,121.385,95475.3,0
41,6.66325e+06,22997,93.1605,53031.8,0
42,6.50504e+06,24387.8,98.6948,30111.8,0
43,6.33973e+06,19701.3,90.3934,17618.6,0
44,6.17474e+06,14826.8,79.1403,10708,9072.85
45,6.01128e+06,11035.3,67.5183,6815.25,8832.68
46,5.84916e+06,7363.26,55.8963,4569.82,8594.47
47,5.68902e+06,7075.68,52.7602,3242.26,8359.17
48,5.52816e+06,5146.75,45.3812,2451.56,0
49,5.36886e+06,2444.55,26.5646,1987.85,0
50,5.21245e+06,1560.14,21.7682,1726.28,0
51,5.05755e+06,1024.44,14.9426,1606.81,0
52,4.90421e+06,1096.13,17.5253,0.0918944,0
53,4.75224e+06,821.559,13.4668,0.0996254,0
54,4.60232e+06,466.721,7.74801,0.115692,0
55,4.45483e+06,289.107,5.34981,0.143942,0
56,4.30984e+06,687.931,11.622,0.191978,0
57,4.16698e+06,855.53,14.3892,0.27259,0
58,4.02668e+06,673.196,10.8841,0.409283,0
59,3.88944e+06,772.873,12.9133,0.647038,0
60,3.75511e+06,1086.89,15.496,1.07017,0
61,3.62357e+06,1716.6,22.1372,1.83669,114751
62,3.49461e+06,3037.06,37.2642,3.24509,110667
63,3.36761e+06,3645.69,40.7693,5.85488,106645
64,3.24338e+06,4571.98,48.3328,10.694,102711
65,3.12163e+06,6387.82,66.9649,19.5991,214965
66,3.00154e+06,7368.63,78.218,35.7255,206695
67,2.88399e+06,7568.43,81.9075,64.2071,198600
68,2.76977e+06,7371.98,80.8006,112.811,190735
69,2.65924e+06,8629.67,87.8107,192.192,183123
70,2.55093e+06,9109.74,96.1122,315.056,172590
71,2.44562e+06,9523.22,95.1898,493.418,165464
72,2.34333e+06,7674.12,79.8782,733.515,158544
73,2.24625e+06,10603.3,113.453,1029.18,151975
74,2.14954e+06,8987.55,96.2966,1356.29,50161.6
75,2.05773e+06,8856,99.0638,1672.14,48019
76,1.96921e+06,10439.3,115.482,1922.86,45953.4
77,1.88223e+06,7832.93,88.7331,2058.29,43923.6
78,1.80088e+06,5773.61,69.1786,2048.95,46026.5
79,1.72445e+06,9504.46,114.56,1896.9,44073
80,1.64708e+06,10479.4,132.823,1635.05,42095.7
81,1.57157e+06,9578.13,123.968,1314.95,40165.7
82,1.4997e+06,9383.11,127.289,989.785,38328.9
