timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,3.91295,462.575,0
1,18729.8,0,3.02649,826.98,0
2,16928.1,12.6499,1.77526,1526.05,0
3,15324,7.32905,1.13606,2880.53,0
4,13923.4,16.3737,2.79434,5510.74,0
5,12749.8,19.2827,3.59434,10584.3,0
6,11890.2,14.6449,2.92679,20215.2,0
7,11506.9,16.8438,3.47876,38034.8,0
8,11867.1,25.2955,5.06743,69853.3,0
9,13412.4,46.7642,8.29463,124128,424.741
10,16801.1,107.328,15.2197,211652,532.053
11,22901.6,182.114,18.9608,343640,725.244
12,32773.6,338.995,24.6932,527574,1037.87
13,47383.1,710.008,35.8577,761180,3262.95
14,67224.4,1206.88,43.0273,1.02667e+06,4629.28
15,92191.2,1768.31,45.9992,1.289e+06,6348.57
16,121299,2359.41,46.6539,1.50155e+06,8353.03
17,152662,3613.72,56.9,1.61935e+06,10512.8
18,183120,4765.1,62.626,1.61507e+06,12389.4
19,210238,5959.12,68.2989,1.48972e+06,14224.2
20,231938,5540.01,57.4219,1.27227e+06,15692.3
21,248723,8523.49,82.8297,1.00833e+06,16827.9
22,256843,7809.75,73.3463,744075,5993.67
23,260576,8152.42,75.5022,513465,6080.79
24,259718,9976.65,93.0486,333118,6060.75
25,253726,7679.23,73.0012,204446,5920.93
26,247701,5793.37,56.2121,119538,6330.67
27,241905,9654.57,96.7509,67102.2,6182.56
28,230993,10613,111.735,36466.9,5903.67
29,218312,9616.53,107.017,19356.6,5579.56
30,206110,9315.55,109.871,10127.8,5267.72
31,193857,9168.31,115.097,5272.9,620.834
32,181526,8746.44,117.315,2757.89,581.344
33,169494,8642.89,124.341,1462.9,542.809
34,157512,8051.37,124.65,794.233,504.438
35,146133,6295.2,104.605,445.357,678.185
36,136560,5979.68,106.368,260.206,633.756
37,127353,5974.35,114.144,159.584,591.028
38,118229,5023.59,103.144,103.446,548.688
39,110160,4375.29,96.2735,71.4434,0
40,102841,3602.57,84.7037,52.8346,0
41,96397.6,2425.2,60.521,41.907,0
42,91223.4,2490.63,65.7522,35.8764,0
43,86062.3,1951.72,54.4842,33.3081,0
44,81525.8,1431.84,42.0841,33.3928,119.79
45,77586.5,1043.67,32.1647,36.1626,114.002
46,74104.1,684.844,22.0503,42.471,108.885
47,71042.5,648.698,21.7854,53.8069,104.386
48,68075.3,465.774,16.3049,73.0987,0
49,65350.5,219.011,7.97217,106.321,0
50,62928.6,138.705,5.24021,164.677,0
51,60640.2,90.4821,3.5461,269.447,0
52,58450.2,96.2294,3.91295,236.576,0
53,56309.6,71.7168,3.02649,422.945,0
54,54253.3,40.5419,1.77526,780.473,0
55,52294.7,25.0112,1.13606,1473.2,0
56,50431.1,59.306,2.79434,2818.38,0
57,48638.4,73.5606,3.59434,5413.14,0
58,46984.9,57.8707,2.92679,10338.7,0
59,45585.2,66.7276,3.47876,19452.3,0
60,44559.1,94.9804,5.06743,35725.3,0
61,44120.8,153.834,8.29463,63483.2,1397.21
62,44587.7,284.833,15.2197,108246,1411.99
63,46356.8,368.63,18.9608,175749,1468.02
64,50030,517.487,24.6932,269819,1584.34
65,56082.5,840.362,35.8577,389293,3862.01
66,64707.4,1161.69,43.0273,525074,4455.95
67,75921.9,1456.25,45.9992,659238,5228.21
68,89285,1736.7,46.6539,767942,6148.44
69,103863,2458.56,56.9,828191,7152.29
70,117937,3068.92,62.626,825999,7979.31
71,130325,3694.01,68.2989,761890,8817.44
72,139971,3343.31,57.4219,650684,9470.06
73,147282,5047.21,82.8297,515694,9964.71
74,150025,4561.77,73.3463,380545,3500.98
75,150689,4714.47,75.5022,262603,3516.46
76,149067,5726.17,93.0486,170368,3478.61
77,144781,4381.92,73.0012,104561,3378.6
78,140686,3290.45,56.2121,61135.5,3595.62
79,136869,5462.5,96.7509,34318.3,3498.05
80,130269,5985.24,111.735,18650.4,3329.39
