timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,34.6124,1614.72,0
1,2.47691e+06,0,26.5969,1750.57,0
2,2.37454e+06,475.56,15.3023,2032.89,0
3,2.27655e+06,291.781,10.5659,2529.27,0
4,2.1826e+06,688.004,22.9535,3373.35,0
5,2.09199e+06,848.198,28.4186,4789.81,0
6,2.00487e+06,661.93,21.4961,7191.72,0
7,1.92147e+06,754.014,25.5039,11369.4,0
8,1.84147e+06,1052.53,30.6046,18804.6,0
9,1.76466e+06,1650.67,43.7209,32273.5,55883.1
10,1.69088e+06,2901,73.5968,57021.1,53546.3
11,1.6198e+06,3461.42,80.5193,102879,51295.7
12,1.55285e+06,4320.18,95.4573,187910,49175.5
13,1.49109e+06,6020.08,132.256,344385,102681
14,1.43618e+06,6954.89,154.48,627750,98899.6
15,1.39323e+06,7211.69,161.767,1.12822e+06,95942
16,1.37002e+06,7192.2,159.581,1.98226e+06,94343.7
17,1.37775e+06,8816.13,173.426,3.3771e+06,94876.4
18,1.43038e+06,10070.6,189.822,5.53601e+06,96775.9
19,1.54837e+06,11885,188,8.6701e+06,104759
20,1.75384e+06,11325.2,157.76,1.2889e+07,118660
21,2.07012e+06,19254.5,224.07,1.80843e+07,140059
22,2.50148e+06,20613.9,190.186,2.38321e+07,58374.3
23,3.05266e+06,25892.2,195.651,2.9382e+07,71236.5
24,3.69843e+06,38620.9,228.077,3.37875e+07,86306.2
25,4.39132e+06,36017.9,175.248,3.61673e+07,102475
26,5.09537e+06,32211.9,136.628,3.60031e+07,130226
27,5.75904e+06,62518.6,226.256,3.33314e+07,147188
28,6.30421e+06,78968,262.325,2.87302e+07,161121
29,6.71912e+06,80633.6,244.837,2.31057e+07,171726
30,7.01164e+06,86374,251.395,1.7392e+07,179202
31,7.18531e+06,92695.8,265.24,1.23027e+07,23011.2
32,7.25616e+06,95401.3,269.248,8.21927e+06,23238.1
33,7.24754e+06,100954,292.566,5.21634e+06,23210.5
34,7.17506e+06,100191,294.387,3.16551e+06,22978.4
35,7.06044e+06,82831.2,253.581,1.85012e+06,32766.7
36,6.93212e+06,82687.7,258.318,1.04955e+06,32171.1
37,6.78081e+06,86757.4,280.907,582671,31468.9
38,6.6082e+06,76449.4,261.232,319285,30667.8
39,6.43307e+06,69492.9,247.387,174204,0
40,6.25498e+06,59488.3,239.736,95475.3,0
41,6.07923e+06,41367.4,183.992,53031.8,0
42,5.9156e+06,43720.3,194.922,30111.8,0
43,5.74472e+06,35204,178.527,17618.6,0
44,5.57876e+06,26425.1,156.302,10708,8197.16
45,5.41888e+06,19628.9,133.349,6815.25,7962.23
46,5.2638e+06,13078.9,110.395,4569.82,7734.36
47,5.11389e+06,12554,104.201,3242.26,7514.11
48,4.96371e+06,9122.76,89.6278,2451.56,0
49,4.81673e+06,4330.5,52.4651,1987.85,0
50,4.67475e+06,2763.02,42.9922,1726.28,0
51,4.5349e+06,1814,29.5116,1606.81,0
52,4.39691e+06,1940.71,34.6124,0.108715,0
53,4.26006e+06,1454.41,26.5969,0.117862,0
54,4.12528e+06,826.188,15.3023,0.13687,0
55,3.99297e+06,511.771,10.5659,0.17029,0
56,3.86302e+06,1217.71,22.9535,0.22712,0
57,3.73462e+06,1514.2,28.4186,0.322487,0
58,3.60836e+06,1191.34,21.4961,0.484201,0
59,3.485e+06,1367.56,25.5039,0.765478,0
60,3.36415e+06,1922.85,30.6046,1.26607,0
61,3.24554e+06,3035.88,43.7209,2.1729,102779
62,3.12871e+06,5367.85,73.5968,3.8391,99079.3
63,3.01254e+06,6437.6,80.5193,6.92661,95400.5
64,2.8984e+06,8063.6,95.4573,12.6515,91785.9
65,2.7858e+06,11247.3,132.256,23.1866,191839
66,2.67327e+06,12945.7,154.48,42.2649,184090
67,2.56239e+06,13263.5,161.767,75.9602,176454
68,2.45455e+06,12885.7,159.581,133.461,169028
69,2.35043e+06,15040.2,173.426,227.372,161858
70,2.24749e+06,15823.5,189.822,372.727,152059
71,2.1471e+06,16480.7,188,583.738,145267
72,2.04938e+06,13233.7,157.76,867.784,138656
73,1.95812e+06,18212.8,224.07,1217.57,132482
74,1.86506e+06,15369.4,190.186,1604.56,43523
75,1.77802e+06,15080.9,195.651,1978.22,41491.7
76,1.69429e+06,17692.7,228.077,2274.83,39537.8
77,1.61095e+06,13213.1,175.248,2435.06,37593
78,1.53498e+06,9703.84,136.628,2424,39230.7
79,1.46518e+06,15905.6,226.256,2244.13,37446.8
80,1.39181e+06,17434.1,262.325,1934.34,35571.5
81,1.31961e+06,15836.2,244.837,1555.65,33726.4
82,1.25165e+06,15418.7,251.395,1170.96,31989.5
83,1.18663e+06,15308.4,265.24,828.314,3800.22
84,1.12415e+06,14779.9,269.248,553.384,3600.12
85,1.06454e+06,14828.5,292.566,351.204,3409.23
86,1.00715e+06,14063.7,294.387,213.127,3225.44
87,952704,11176.9,253.581,124.564,4421.39
88,903181,10773.3,258.318,70.6635,4191.56
89,855964,10951.7,280.907,39.2299,3972.42
90,810401,9375.44,261.232,21.4967,3760.98
91,768160,8298.02,247.387,11.7287,0
92,728627,6929.64,239.736,6.42813,0
93,691986,4708.77,183.992,3.5705,0
