timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,63.9672,1614.72,0
1,2.47691e+06,0,49.1537,1750.57,0
2,2.37471e+06,878.87,28.2802,2032.89,0
3,2.27712e+06,539.345,19.5268,2529.27,0
4,2.18364e+06,1271.93,42.4203,3373.35,0
5,2.09309e+06,1568.11,52.5204,4789.81,0
6,2.00584e+06,1223.73,39.727,7191.72,0
7,1.92243e+06,1393.95,47.1337,11369.4,0
8,1.84228e+06,1945.56,56.5604,18804.6,0
9,1.76505e+06,3050.04,80.8006,32273.5,55895.2
10,1.69032e+06,5355.61,136.014,57021.1,53528.6
11,1.61727e+06,6381.18,148.808,102879,51215.4
12,1.54794e+06,7949.33,176.415,187910,49019.9
13,1.48316e+06,11047.4,244.422,344385,102135
14,1.42397e+06,12717.5,285.496,627750,98058.6
15,1.37615e+06,13135.3,298.962,1.12822e+06,94766.2
16,1.34809e+06,13049.6,294.922,1.98226e+06,92833.6
17,1.35119e+06,15934.9,320.509,3.3771e+06,93047.2
18,1.39806e+06,18136,350.809,5.53601e+06,94589.4
19,1.5095e+06,21342.5,347.443,8.6701e+06,102129
20,1.70711e+06,20315.9,291.556,1.2889e+07,115499
21,2.01608e+06,34516.5,414.103,1.80843e+07,136403
22,2.43376e+06,36933.7,351.483,2.38321e+07,56793.9
23,2.97015e+06,46388.1,361.583,2.9382e+07,69311.1
24,3.59679e+06,69101.9,421.51,3.37875e+07,83934.4
25,4.26019e+06,64349,323.876,3.61673e+07,99415.4
26,4.93689e+06,57522.3,252.502,3.60031e+07,126176
27,5.57636e+06,111353,418.143,3.33314e+07,142519
28,6.07321e+06,139835,484.804,2.87302e+07,155218
29,6.42755e+06,141816,452.484,2.31057e+07,164274
30,6.65954e+06,150808,464.604,1.7392e+07,170203
31,6.77001e+06,160513,490.19,1.23027e+07,21681.2
32,6.77514e+06,163692,497.597,8.21927e+06,21697.6
33,6.70155e+06,171483,540.691,5.21634e+06,21461.9
34,6.56329e+06,168358,544.058,3.16551e+06,21019.2
35,6.38703e+06,137781,468.644,1.85012e+06,29641.4
36,6.21234e+06,136245,477.397,1.04955e+06,28830.7
37,6.01793e+06,141514,519.144,582671,27928.5
38,5.80288e+06,123450,482.784,319285,26930.5
39,5.59506e+06,111180,457.197,174204,0
40,5.39142e+06,94374,443.057,95475.3,0
41,5.19861e+06,65185.2,340.036,53031.8,0
42,5.03048e+06,68491.3,360.236,30111.8,0
43,4.8553e+06,54842.6,329.936,17618.6,0
44,4.69125e+06,40983.4,288.862,10708,6893.1
45,4.53923e+06,30340.1,246.442,6815.25,6669.72
46,4.39649e+06,20166.9,204.022,4569.82,6459.98
47,4.263e+06,19320.2,192.575,3242.26,6263.84
48,4.12982e+06,14016.3,165.641,2451.56,0
49,4.00189e+06,6646.74,96.9608,1987.85,0
50,3.88158e+06,4238.86,79.454,1726.28,0
51,3.76414e+06,2782.19,54.5404,1606.81,0
52,3.64889e+06,2975.9,63.9672,0.1426,0
53,3.53447e+06,2229.75,49.1537,0.154597,0
54,3.42209e+06,1266.5,28.2802,0.179529,0
55,3.31217e+06,784.502,19.5268,0.223366,0
56,3.2044e+06,1866.51,42.4203,0.297909,0
57,3.09739e+06,2320.5,52.5204,0.423,0
58,2.99193e+06,1825.33,39.727,0.635118,0
59,2.88911e+06,2094.89,47.1337,1.00406,0
60,2.78823e+06,2944.54,56.5604,1.66068,0
61,2.68883e+06,4646.36,80.8006,2.85015,85149.5
62,2.59015e+06,8206.66,136.014,5.03567,82024.5
63,2.49047e+06,9826.5,148.808,9.08551,78867.7
64,2.39185e+06,12283.2,176.415,16.5948,75744.6
65,2.29354e+06,17083.5,244.422,30.4135,157941
66,2.19334e+06,19588.8,285.496,55.4382,151040
67,2.09367e+06,19983.9,298.962,99.6356,144177
68,1.99668e+06,19328.1,294.922,175.058,137498
69,1.9034e+06,22447.2,320.509,298.24,131074
70,1.81003e+06,23480.1,350.809,488.899,122462
71,1.71872e+06,24300.7,347.443,765.679,116284
72,1.62967e+06,19394.3,291.556,1138.26,110259
73,1.54847e+06,26510.7,414.103,1597.07,104765
74,1.46306e+06,22202.8,351.483,2104.67,34141.9
75,1.38489e+06,21629.4,361.583,2594.8,32317.7
76,1.31005e+06,25168.8,421.51,2983.86,30571.2
77,1.2344e+06,18645.3,323.876,3194.03,28805.9
78,1.1679e+06,13607.8,252.502,3179.52,29848.9
79,1.10876e+06,22140.5,418.143,2943.58,28337.3
80,1.04338e+06,24023.6,484.804,2537.24,26666.3
81,978563,21590.8,452.484,2040.52,25009.9
82,918555,20801,464.604,1535.93,23476.2
83,861573,20427.4,490.19,1086.48,2759.22
84,807110,19500.3,497.597,725.864,2584.8
85,755628,19335.5,540.691,460.668,2419.92
86,706279,18117,544.058,279.554,2261.88
87,660027,14238.1,468.644,163.388,3063.11
88,619372,13583.7,477.397,92.6881,2874.43
89,580937,13660.9,519.144,51.4572,2696.06
90,543926,11571.5,482.784,28.1969,2524.3
91,510416,10142.6,457.197,15.3844,0
92,479624,8395.58,443.057,8.43167,0
93,451760,5664.61,340.036,4.68337,0
94,427675,5822.91,360.236,2.65925,0
95,404388,4567.74,329.936,1.55594,0
96,383256,3348.17,288.862,0.945654,563.138
97,364161,2434.05,246.442,0.601872,535.08
98,346723,1590.44,204.022,0.403572,509.458
99,330808,1499.25,192.575,0.286332,486.073
100,315619,1071.19,165.641,0.216503,0
101,301459,500.692,96.9608,0.175552,0
102,288427,314.975,79.454,0.152452,0
103,276102,204.075,54.5404,0.141901,0
104,264383,215.621,63.9672,2.7787,0
105,253128,159.688,49.1537,3.01247,0
106,242383,89.705,28.2802,3.49831,0
107,232145,54.9846,19.5268,4.35251,0
108,222358,129.52,42.4203,5.80504,0
109,212898,159.499,52.5204,8.24257,0
110,203796,124.333,39.727,12.3759,0
111,195102,141.468,47.1337,19.5652,0
112,186750,197.218,56.5604,32.36,0
113,178687,308.775,80.8006,55.538,5658.63
114,170849,541.319,136.014,98.125,5410.42
115,163109,643.572,148.808,177.04,5165.32
116,155594,799.041,176.415,323.366,4927.32
117,148244,1104.2,244.422,592.637,10208.5
118,140912,1258.49,285.496,1080.27,9703.61
119,133753,1276.66,298.962,1941.5,9210.62
120,126906,1228.46,294.922,3411.18,8739.17
121,120446,1420.45,320.509,5811.49,8294.25
122,114148,1480.75,350.809,9526.68,7722.96
123,108174,1529.45,347.443,14920,7318.78
124,102565,1220.61,291.556,22180,6939.32
125,97699.5,1672.67,414.103,31120.4,6610.1
126,92829.4,1408.74,351.483,41011.6,2166.26
127,88661.8,1384.73,361.583,50562.2,2069.01
128,84903.9,1631.18,421.51,58143.4,1981.31
129,81210.7,1226.67,323.876,62238.7,1895.13
130,78132.9,910.367,252.502,61956.1,1996.9
131,75468.5,1507.01,418.143,57358.6,1928.81
132,72224.9,1662.97,484.804,49440.6,1845.91
133,68805.3,1518.1,452.484,39761.5,1758.51
134,65491.3,1483.08,464.604,29929.1,1673.81
135,62175.4,1474.14,490.19,21171.2,199.119
136,58852.2,1421.91,497.597,14144.2,188.476
137,55591.8,1422.52,540.691,8976.56,178.035
138,52366,1343.26,544.058,5447.39,167.704
139,49274.3,1062.94,468.644,3183.78,228.676
140,46526.9,1020.4,477.397,1806.12,215.926
141,43888.8,1032.06,519.144,1002.69,203.683
142,41311,878.849,482.784,549.444,191.719
143,38959.2,774.166,457.197,299.78,0
144,36781.5,643.841,443.057,164.299,0
145,34799.6,436.351,340.036,91.26,0
146,33084.5,450.455,360.236,51.8181,0
147,31409.9,354.789,329.936,30.3191,0
148,29883.8,261.069,288.862,18.427,43.9098
