timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,33.7361,1614.72,0
1,2.47691e+06,0,25.9235,1750.57,0
2,2.37454e+06,463.521,14.9149,2032.89,0
3,2.27653e+06,284.393,10.2984,2529.27,0
4,2.18257e+06,670.579,22.3724,3373.35,0
5,2.09196e+06,826.716,27.6991,4789.81,0
6,2.00484e+06,645.165,20.9519,7191.72,0
7,1.92145e+06,734.918,24.8582,11369.4,0
8,1.84145e+06,1025.88,29.8298,18804.6,0
9,1.76465e+06,1608.89,42.614,32273.5,55882.7
10,1.69089e+06,2827.64,71.7336,57021.1,53546.9
11,1.61988e+06,3374.04,78.4808,102879,51298.1
12,1.553e+06,4211.36,93.0406,187910,49180.2
13,1.49133e+06,5868.91,128.907,344385,102697
14,1.43654e+06,6780.97,150.57,627750,98924.8
15,1.39374e+06,7032.17,157.672,1.12822e+06,95977.3
16,1.37068e+06,7013.97,155.541,1.98226e+06,94389.1
17,1.37856e+06,8598.64,169.036,3.3771e+06,94931.6
18,1.43136e+06,9823.29,185.016,5.53601e+06,96842
19,1.54955e+06,11594.1,183.24,8.6701e+06,104839
20,1.75526e+06,11048.4,153.766,1.2889e+07,118756
21,2.07177e+06,18784.2,218.397,1.80843e+07,140170
22,2.50355e+06,20110.8,185.371,2.38321e+07,58422.6
23,3.05518e+06,25260.3,190.698,2.9382e+07,71295.4
24,3.70154e+06,37679.9,222.303,3.37875e+07,86378.8
25,4.39534e+06,35141.9,170.811,3.61673e+07,102569
26,5.10023e+06,31428.9,133.169,3.60031e+07,130350
27,5.76465e+06,61003.8,220.528,3.33314e+07,147332
28,6.31132e+06,77068,255.684,2.87302e+07,161303
29,6.72811e+06,78709.6,238.639,2.31057e+07,171955
30,7.02254e+06,84331.6,245.031,1.7392e+07,179480
31,7.19821e+06,90526.3,258.525,1.23027e+07,23052.5
32,7.27116e+06,93194.1,262.431,8.21927e+06,23286.1
33,7.26464e+06,98648.2,285.159,5.21634e+06,23265.2
34,7.19431e+06,97934.3,286.934,3.16551e+06,23040
35,7.08174e+06,80990,247.161,1.85012e+06,32865.5
36,6.95498e+06,80872.6,251.778,1.04955e+06,32277.2
37,6.80515e+06,84878.6,273.795,582671,31581.9
38,6.63402e+06,74816.4,254.619,319285,30787.7
39,6.46006e+06,68027.3,241.124,174204,0
40,6.28292e+06,58248.3,233.667,95475.3,0
41,6.10783e+06,40513.4,179.334,53031.8,0
42,5.94442e+06,42825.1,189.988,30111.8,0
43,5.77376e+06,34489,174.007,17618.6,0
44,5.60781e+06,25891.8,152.345,10708,8239.85
45,5.44772e+06,19234.8,129.973,6815.25,8004.62
46,5.29228e+06,12817.2,107.6,4569.82,7776.21
47,5.14186e+06,12303.5,101.563,3242.26,7555.2
48,4.99114e+06,8941.16,87.3588,2451.56,0
49,4.84356e+06,4244.42,51.1368,1987.85,0
50,4.70087e+06,2708.14,41.9038,1726.28,0
51,4.56029e+06,1777.99,28.7645,1606.81,0
52,4.42155e+06,1902.19,33.7361,0.107803,0
53,4.28396e+06,1425.55,25.9235,0.116872,0
54,4.14845e+06,809.796,14.9149,0.135721,0
55,4.0154e+06,501.618,10.2984,0.16886,0
56,3.88472e+06,1193.55,22.3724,0.225213,0
57,3.75562e+06,1484.17,27.6991,0.319779,0
58,3.62867e+06,1167.72,20.9519,0.480136,0
59,3.50464e+06,1340.46,24.8582,0.759051,0
60,3.38314e+06,1884.76,29.8298,1.25544,0
61,3.2639e+06,2975.79,42.614,2.15465,103360
62,3.14647e+06,5261.77,71.7336,3.80686,99641.8
63,3.02976e+06,6310.68,78.4808,6.86845,95946.1
64,2.91513e+06,7905.11,93.0406,12.5453,92315.7
65,2.80207e+06,11027.2,128.907,22.992,192959
66,2.68916e+06,12693.8,150.57,41.9101,185184
67,2.57794e+06,13007.1,157.672,75.3224,177525
68,2.46978e+06,12638.2,155.541,132.34,170077
69,2.36533e+06,14753.6,169.036,225.463,162884
70,2.26211e+06,15524.6,185.016,369.597,153048
71,2.16146e+06,16172.5,183.24,578.837,146239
72,2.06349e+06,12988.5,153.766,860.498,139610
73,1.97193e+06,17879,218.397,1207.35,133416
74,1.87867e+06,15091.2,185.371,1591.09,43840.5
75,1.79137e+06,14811.1,190.698,1961.61,41803.3
76,1.70739e+06,17380.4,222.303,2255.73,39843.4
77,1.62384e+06,12983,170.811,2414.62,37893.8
78,1.54759e+06,9536.65,133.169,2403.65,39552.9
79,1.47746e+06,15635,220.528,2225.29,37760.5
80,1.40386e+06,17142.7,255.684,1918.1,35879.6
81,1.33148e+06,15576.4,238.639,1542.59,34029.5
82,1.2633e+06,15170.6,245.031,1161.13,32287.1
83,1.19805e+06,15067,258.525,821.359,3836.8
84,1.13535e+06,14551.7,262.431,548.738,3635.99
85,1.07552e+06,14604.7,285.159,348.255,3444.37
86,1.0179e+06,13856.4,286.934,211.337,3259.86
87,963222,11015.9,247.161,123.518,4470.2
88,913431,10621.4,251.778,70.0703,4239.12
89,865945,10800.7,273.795,38.9005,4018.75
90,820124,9249.1,254.619,21.3162,3806.1
91,777609,8188.57,241.124,11.6303,0
92,737797,6840.04,233.667,6.37416,0
93,700868,4648.87,179.334,3.54053,0
94,667540,4809.13,189.988,2.01034,0
95,635368,3795.31,174.007,1.17626,0
96,605464,2795.49,152.345,0.714894,889.639
97,577727,2039.83,129.973,0.455003,848.883
98,551833,1336.47,107.6,0.305092,810.837
99,527662,1262.59,101.563,0.216461,775.32
100,504529,903.815,87.3588,0.163672,0
101,482675,422.969,51.1368,0.132714,0
102,462170,266.253,41.9038,0.115251,0
103,442646,172.581,28.7645,0.107274,0
104,424001,182.41,33.7361,0.670714,0
105,406103,135.136,25.9235,0.727141,0
106,388977,75.9301,14.9149,0.844409,0
107,372606,46.5473,10.2984,1.05059,0
108,356932,109.665,22.3724,1.4012,0
109,341837,135.09,27.6991,1.98956,0
110,327336,105.338,20.9519,2.98725,0
111,313460,119.893,24.8582,4.72257,0
112,300140,167.209,29.8298,7.81094,0
113,287323,261.961,42.614,13.4056,9098.89
114,274943,459.782,71.7336,23.6851,8706.84
115,262882,547.556,78.4808,42.7333,8324.9
116,251236,681.291,93.0406,78.0529,7956.1
117,239944,944.267,128.907,143.049,16523.3
118,228867,1080.33,150.57,260.751,15760.5
119,218124,1100.55,157.672,468.632,15020.7
120,207816,1063.43,155.541,823.38,14310.9
121,197989,1234.94,169.036,1402.76,13634.1
122,188424,1293.14,185.016,2299.52,12748.3
123,179233,1341.06,183.24,3601.34,12126.4
124,170419,1072.69,153.766,5353.74,11530.1
125,162288,1471.43,218.397,7511.74,10980
126,154166,1238.4,185.371,9899.24,3597.6
127,146671,1212.68,190.698,12204.5,3422.71
128,139569,1420.75,222.303,14034.4,3256.97
129,132599,1060.17,170.811,15023,3094.32
130,126292,778.246,133.169,14954.7,3227.75
131,120522,1275.41,220.528,13845,3080.28
132,114484,1397.98,255.684,11933.8,2925.96
133,108545,1269.82,238.639,9597.51,2774.15
134,102939,1236.17,245.031,7224.19,2630.89
135,97562.6,1226.97,258.525,5110.23,312.448
136,92386.3,1184.11,262.431,3414.07,295.87
137,87441.2,1187.38,285.159,2166.73,280.033
138,82678.8,1125.49,286.934,1314.87,264.782
139,78160.4,893.878,247.161,768.49,362.733
140,74046.1,861.01,251.778,435.955,343.639
141,70127.4,874.677,273.795,242.027,325.453
142,66352.3,748.3,254.619,132.623,307.933
143,62853.4,661.875,241.124,72.3598,0
144,59581.2,552.372,233.667,39.658,0
145,56549.4,375.094,179.334,22.028,0
146,53814.9,387.696,189.988,12.5077,0
147,51179.9,305.718,174.007,7.31831,0
148,48733.1,225.005,152.345,4.44784,71.606
149,46465.7,164.061,129.973,2.83088,68.2745
